Broad_ID,CCLE_Name,Aliases,COSMIC_ID,Sanger ID,Primary Disease,Subtype Disease,Gender,Source
ACH-000557,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML-193,,,Leukemia,,Female,ATCC
ACH-001000,1321N1_CENTRAL_NERVOUS_SYSTEM,,,,Brain Cancer,glioma,,
ACH-000198,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1,906856,426,Leukemia,haematopoietic_neoplasm,Male,DSMZ
ACH-000956,22RV1_PROSTATE,22-RV1,924100,1027,Prostate Cancer,carcinoma,Male,ATCC
ACH-000948,2313287_STOMACH,2313287,910924,558,Gastric Cancer,adenocarcinoma,Male,DSMZ
ACH-000011,253J_URINARY_TRACT,253J,,,Bladder Cancer,carcinoma,,KCLB
ACH-000026,253JBV_URINARY_TRACT,253JBV,,,Bladder Cancer,carcinoma,,
ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,42MGBA,687561,1465,Brain Cancer,glioma,Male,DSMZ
ACH-001002,451LU_SKIN,,1287706,577,Skin Cancer,melanoma,-1,
ACH-000905,5637_URINARY_TRACT,5637,687452,1157,Bladder Cancer,,Male,
ACH-000520,59M_OVARY,59M,,,Ovarian Cancer,carcinoma,Female,ECACC
ACH-000973,639V_URINARY_TRACT,639V,906798,1483,Bladder Cancer,carcinoma,Male,ATCC
ACH-000896,647V_URINARY_TRACT,647V,906797,2061,Bladder Cancer,carcinoma,Male,DSMZ
ACH-000487,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,F-36P,,,Leukemia,,Male,DSMZ
ACH-000411,769P_KIDNEY,769P,910922,1186,Kidney Cancer,carcinoma,Female,ATCC
ACH-000649,786O_KIDNEY,786-O,905947,301,Kidney Cancer,carcinoma,Male,NIBRI
ACH-001306,8305C_THYROID,8305C,906795,433,Thyroid Cancer,carcinoma,Female,DSMZ
ACH-001307,8505C_THYROID,8505C,924102,868,Thyroid Cancer,carcinoma,Female,HSRRB
ACH-000137,8MGBA_CENTRAL_NERVOUS_SYSTEM,8MGBA,687562,1207,Brain Cancer,glioma,Female,DSMZ
ACH-001441,921_UVEA,92-1,,,Melanoma,uveal_melanoma,Female,
ACH-000014,HS294T_SKIN,Hs 294.T,,,Melanoma/ Skin Cancer,NS,Male,ATCC
ACH-000283,A1207_CENTRAL_NERVOUS_SYSTEM,A1207,,,Brain Cancer,glioma,Female,
ACH-000558,A172_CENTRAL_NERVOUS_SYSTEM,A172,687563,1777,Brain Cancer,glioma,Male,ATCC
ACH-000201,A204_SOFT_TISSUE,A-204,910784,349,Rhabdoid/Sarcoma,rhabdoid,Female,NIBRI
ACH-000788,A2058_SKIN,A2058,906792,652,Skin Cancer,malignant_melanoma,Male,GNF
ACH-000740,A253_SALIVARY_GLAND,A253,906794,2089,Head and Neck Cancer,carcinoma,Male,ATCC
ACH-000657,A2780_OVARY,A2780,906804,1245,Ovarian Cancer,carcinoma,Female,NIBRI
ACH-000219,A375_SKIN,A-375,906793,953,Skin Cancer,NS,Female,ATCC
ACH-001442,A388_SKIN,A388,910697,948,Cervical Cancer,,Male,
ACH-000697,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A3/KAW,910935,1511,Lymphoma,lymphoid_neoplasm,Female,HSRRB
ACH-000757,A427_LUNG,A427,910851,1839,Lung NSCLC,,,
ACH-001328,A431_SKIN,A-431,910925,97,Skin Cancer,Epidermoid Carcinoma,,
ACH-000555,A498_KIDNEY,A-498,905948,602,Kidney Cancer,carcinoma,Male,
ACH-000157,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A4/Fuk,910934,186,Lymphoma,lymphoid_neoplasm,Female,JCRB
ACH-000681,A549_LUNG,A549,905949,369,Lung NSCLC,non_small_cell_carcinoma,Male,ATCC
ACH-000052,A673_BONE,A-673,684052,660,Ewings Sarcoma,NS,Female,NIBRI
ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,907053,783,Leukemia,,Male,DSMZ
ACH-000429,A704_KIDNEY,A704,910920,949,Kidney Cancer,carcinoma,Male,GNF
ACH-000528,ABC1_LUNG,ABC-1,906791,1557,Lung NSCLC,carcinoma,Male,HSRRB
ACH-000086,ACCMESO1_PLEURA,ACCMESO1,,,Mesothelioma/Lung Cancer,mesothelioma,,RIKEN
ACH-001011,ACCS_URINARY_TRACT,,,,Bladder Cancer,carcinoma,Female,
ACH-000046,ACHN_KIDNEY,ACHN,905950,371,Kidney Cancer,carcinoma,Male,ATCC
ACH-000880,AGS_STOMACH,AGS,906790,1011,Gastric Cancer,adenocarcinoma,Female,NIBRI
ACH-000105,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL-SIL,1295740,2263,Leukemia,lymphoid_neoplasm,Male,DSMZ
ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,AM-38,910933,776,Brain Cancer,glioma,Male,HSSRB
ACH-000005,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL9217,,,Leukemia,,Male,NIBRI
ACH-000838,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO-1,1295741,1204,Multiple Myeloma,lymphoid_neoplasm,Female,DSMZ
ACH-000940,AN3CA_ENDOMETRIUM,AN3CA_ENDOMETRIUM,910781,1294,Endometrial Cancer,carcinoma,Female,ATCC
ACH-001329,ANGMCSS_CENTRAL_NERVOUS_SYSTEM,ANGM-CSS,,,Brain Cancer,,Male,
ACH-001443,ASH3_THYROID,ASH-3,1290722,891,Thyroid Cancer,,Female,
ACH-000222,ASPC1_PANCREAS,AsPC-1,910702,59,Pancreatic Cancer,pancreatic_ductal_adenocarcinoma,Female,ATCC
ACH-002058,ATN1_HAEMATOPOIETIC_AND_LYMPHOID,ATN-1,,,Leukemia,,Male,
ACH-000248,AU565_BREAST,AU565,910704,726,Breast Cancer,Luminal,Female,ATCC
ACH-001015,AZ521_STOMACH,,,,Gastric Cancer,duodenal_adenocarcinoma,,
ACH-000593,BC3C_URINARY_TRACT,BC3C,,,Bladder Cancer,carcinoma,Female,DSMZ
ACH-000923,BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BCP1,,,Lymphoma,lymphoid_neoplasm,Male,ATCC
ACH-000456,BCPAP_THYROID,BCPAP,924104,346,Thyroid Cancer,carcinoma,Female,DSMZ
