DRUG_ID	DRUG_NAME	SYNONYMS	TARGET	TARGET_PATHWAY
1	Erlotinib	Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415	EGFR	EGFR signaling
3	Rapamycin	AY-22989, Sirolimus, WY-090217, Torisel, Rapamune	MTORC1	PI3K/MTOR signaling
5	Sunitinib	Sutent, Sunitinib Malate, SU-11248	PDGFR, KIT, VEGFR, FLT3, RET, CSF1R	RTK signaling
6	PHA-665752	PHA665752, PHA 665752	MET	RTK signaling
9	MG-132	LLL cpd, MG 132, MG132	Proteasome, CAPN1	Protein stability and degradation
11	Paclitaxel	BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane	Microtubule stabiliser	Mitosis
17	Cyclopamine		SMO	Other
29	AZ628	AZ-628, AZ 628	BRAF	ERK MAPK signaling
30	Sorafenib	Nexavar, 284461-73-0, BAY 43-9006	PDGFR, KIT, VEGFR, RAF	RTK signaling
32	Tozasertib	MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68	AURKA, AURKB, AURKC, others	Mitosis
34	Imatinib	Gleevec, STI-571	ABL, KIT, PDGFR	RTK signaling
35	NVP-TAE684	NVP-TAE 684, TAE684, TAE-684	ALK	RTK signaling
37	Crizotinib	Xalkori, PF2341066, PF-2341066, PF 2341066	MET, ALK, ROS1	RTK signaling
38	Saracatinib	AZD0530, AZD-0530, AZ-10353926	ABL, SRC	RTK signaling
41	S-Trityl-L-cysteine	NSC 83265, Tritylcysteine	KIF11	Mitosis
45	Z-LLNle-CHO	Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1	gamma-secretase	Other
51	Dasatinib	BMS-354825-03, BMS-354825, Sprycel	ABL, SRC, Ephrins, PDGFR, KIT	Other
52	GNF-2	KIN001-013	BCR-ABL	ABL signaling
53	CGP-60474	KIN001-019, CGP60474, CGP 60474	CDK1,CDK2,CDK5,CDK7,CDK9, PKC	Cell cycle
54	CGP-082996	CINK4, KIN001-021	CDK4	Cell cycle
55	A-770041	KIN001-111	LCK, FYN	Other, kinases
56	WH-4-023	KIN001-112	SRC, LCK	Other, kinases
59	WZ-1-84	KIN001-123	BMX	Other, kinases
60	BI-2536		PLK1, PLK2, PLK3	Cell cycle
62	BMS-536924	BMS 536924	IGF1R, IR	IGFR signaling
63	BMS-509744	KIN001-127, ITK inhibitor	ITK	Other
64	CMK	KIN001-128	RSK2	ERK MAPK signaling
71	Pyrimethamine	Daraprim, Chloridine	Dihydrofolate reductase (DHFR)	Other
83	JW-7-52-1	NA	MTOR	PI3K/MTOR signaling
86	A-443654	KIN001-139	AKT1, AKT2, AKT3	PI3K/MTOR signaling
87	GW843682X	GW843682X (AN-13)	PLK1	Cell cycle
88	Entinostat	MS-275	HDAC1, HDAC3	Chromatin histone acetylation
89	Parthenolide		HDAC1 	Chromatin histone acetylation
91	GSK319347A	KIN001-135, IKK-3 inhibitor	IKK	Other
94	TGX221	TGX-221, Tgx 221	PI3Kbeta	PI3K/MTOR signaling
104	Bortezomib	PS-341, LDP-341, Velcade	Proteasome	Protein stability and degradation
106	XMD8-85	ERK5-IN-1	ERK5, BET	Other
110	Seliciclib	Roscovitine, CYC-202, AL-39256	CDK2, CDK7, CDK9	Cell cycle
111	Salubrinal	EIF-2alpha Inhibitor	EIF2A	Other
119	Lapatinib	Tykerb, Tyverb	ERBB2, EGFR	EGFR signaling
127	GSK269962A	GSK 269962A	ROCK1, ROCK2	Cytoskeleton
133	Doxorubicin	Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine	Anthracycline	DNA replication
134	Etoposide	Etopophos, Vepesid, Eposin, VP-16	TOP2	DNA replication
