"Drug" "PCC"
"1" "17-AAG" "0.534511662353142"
"2" "AEW541" "0.573372187718186"
"3" "AZD0530" "0.514787700985328"
"4" "AZD6244" "0.708487232923364"
"5" "Erlotinib" "0.515103144795447"
"6" "Irinotecan" "0.771609476869913"
"7" "L-685458" "0.539863633426024"
"8" "Lapatinib" "0.608371736101918"
"9" "LBW242" "0.381234265542552"
"10" "Nilotinib" "0.561003597437343"
"11" "Nutlin-3" "0.414491987051574"
"12" "Paclitaxel" "0.668234546549539"
"13" "Panobinostat" "0.751768559771461"
"14" "PD-0325901" "0.733675442067398"
"15" "PD-0332991" "0.573039492347765"
"16" "PF2341066" "0.525947403550862"
"17" "PHA-665752" "0.400415789293659"
"18" "PLX4720" "0.575361242612633"
"19" "RAF265" "0.51270376838015"
"20" "Sorafenib" "0.541739420090726"
"21" "TAE684" "0.607089874238806"
"22" "TKI258" "0.513209367796442"
"23" "Topotecan" "0.696657361303813"
"24" "ZD-6474" "0.470526938413272"
