"Drug" "PCC"
"1" "(5Z)-7-Oxozeaenol" "0.693371152706466"
"2" "5-Fluorouracil" "0.63169098741574"
"3" "A-443654" "0.488188714353382"
"4" "A-770041" "0.661998981293067"
"5" "Afatinib" "0.552444507108461"
"6" "AICA Ribonucleotide" "0.618065186641586"
"7" "AKT inhibitor VIII" "0.631789162177419"
"8" "Alectinib" "0.696575672763893"
"9" "Amuvatinib" "0.464229817819375"
"10" "AR-42" "0.589950912052113"
"11" "AS601245" "0.421675693626232"
"12" "AS605240" "0.556807680311351"
"13" "AT-7519" "0.614763798900419"
"14" "Avagacestat" "0.257945392850485"
"15" "Axitinib" "0.591551596560343"
"16" "AZ628" "0.822034834432199"
"17" "AZD6482" "0.486318120677686"
"18" "AZD7762" "0.610721548483509"
"19" "AZD8055" "0.61926358978305"
"20" "BAY-61-3606" "0.462163005573373"
"21" "Belinostat" "0.594022268916582"
"22" "Bexarotene" "0.453017163165553"
"23" "BI-2536" "0.454631211474745"
"24" "Bicalutamide" "0.291648920927308"
"25" "BIX02189" "0.642852799847646"
"26" "Bleomycin" "0.519466058734272"
"27" "Bleomycin (50 uM)" "0.646272336811857"
"28" "BMS-345541" "0.636191976306348"
"29" "BMS-509744" "0.577428730703014"
"30" "BMS-536924" "0.490875220243216"
"31" "BMS-754807" "0.518148425910587"
"32" "Bortezomib" "0.588605806275996"
"33" "Bosutinib" "0.632522471996941"
"34" "Bryostatin 1" "0.540704226511905"
"35" "BX-912" "0.717406306930016"
"36" "BX795" "0.647290402735622"
"37" "Cabozantinib" "0.513326075583333"
"38" "CAY10603" "0.618211920629374"
"39" "CCT-018159" "0.563758634042729"
"40" "CCT007093" "0.544752552368645"
"41" "Cetuximab" "0.428234650945226"
"42" "CGP-082996" "0.67044879450854"
"43" "CGP-60474" "0.542134157036256"
"44" "CHIR-99021" "0.540352101192108"
"45" "CI-1040" "0.638301116026629"
"46" "Cisplatin" "0.586863450301516"
"47" "CMK" "0.650403175222974"
"48" "CP466722" "0.600842988881692"
"49" "CP724714" "0.482158148283514"
"50" "Crizotinib" "0.594067342177655"
"51" "CUDC-101" "0.568008193723453"
"52" "CX-5461" "0.618476280625556"
"53" "Cyclopamine" "0.664191424526016"
"54" "Cytarabine" "0.542507018742638"
"55" "Dabrafenib" "0.71929324999439"
"56" "Dacinostat" "0.453327343570644"
"57" "Dactolisib" "0.603625452727353"
"58" "Daporinad" "0.679483790389384"
"59" "Dasatinib" "0.627977806614678"
"60" "DMOG" "0.582678752615997"
"61" "Docetaxel" "0.594158921410519"
"62" "Doramapimod" "0.419920532857916"
"63" "Doxorubicin" "0.412368262994937"
"64" "EHT-1864" "0.531944874188292"
"65" "Elesclomol" "0.574969491370622"
"66" "Embelin" "0.533766260159492"
"67" "Entinostat" "0.517111510892315"
"68" "Enzastaurin" "0.497478388270223"
"69" "Epothilone B" "0.454389188978012"
"70" "Erlotinib" "0.521364904847909"
"71" "Etoposide" "0.488106586304869"
"72" "Fedratinib" "0.659611499733275"
"73" "FH535" "0.483076614499589"
"74" "FMK" "0.638831384375216"
"75" "Foretinib" "0.526955795639702"
"76" "FR-180204" "0.612253307842194"
"77" "FTI-277" "0.445329632229043"
"78" "Gefitinib" "0.57419125578607"
"79" "Gemcitabine" "0.54031691807814"
"80" "Genentech Cpd 10" "0.606943722353345"
"81" "GNF-2" "0.595306107745224"
"82" "GSK1070916" "0.732947024806812"
"83" "GSK1904529A" "0.472002117046528"
"84" "GSK269962A" "0.502819889866117"
"85" "GSK319347A" "0.646811420801806"
"86" "GSK429286A" "0.70953539832661"
"87" "GSK650394" "0.525181551848762"
"88" "GSK690693" "0.673005332061694"
"89" "GW-2580" "0.50908305769525"
"90" "GW441756" "0.385376925453761"
"91" "GW843682X" "0.480674392160018"
"92" "HG-5-113-01" "0.641263721487285"
"93" "HG-5-88-01" "0.600327735144286"
"94" "HG6-64-1" "0.581291195716631"
"95" "I-BET-762" "0.730953089735"
"96" "ICL1100013" "0.606926190100943"
"97" "Idelalisib" "0.592861816157614"
"98" "Imatinib" "0.6024766655589"
"99" "IOX2" "0.386855524080282"
"100" "IPA-3" "0.572336275306083"
"101" "Ispinesib Mesylate" "0.612780256069189"
"102" "JNK Inhibitor VIII" "0.502521959653931"
"103" "JNK-9L" "0.446915420582378"
"104" "JQ1" "0.491759353209724"
"105" "JQ12" "0.445166907276929"
"106" "JW-7-24-1" "0.592038810478144"
"107" "JW-7-52-1" "0.557098216503128"
"108" "KIN001-236" "0.697262601868959"
"109" "KIN001-244" "0.574338317451477"
"110" "KIN001-260" "0.690122585350996"
"111" "KIN001-266" "0.440617749136732"
"112" "KIN001-270" "0.679273071150147"
"113" "KU-55933" "0.524074275021321"
"114" "Lapatinib" "0.663958851534244"
"115" "Lenalidomide" "0.613409863137113"
"116" "Lestaurtinib" "0.564525904958611"
"117" "LFM-A13" "0.520175724853054"
"118" "Linifanib" "0.63086331116044"
"119" "Linsitinib" "0.520825166058883"
"120" "Luminespib" "0.506355627625181"
"121" "Masitinib" "0.624307288923733"
"122" "Methotrexate" "0.713994427443815"
"123" "MG-132" "0.594461216401313"
"124" "Midostaurin" "0.540629787105729"
"125" "Mitomycin-C" "0.442631897778483"
"126" "MK-2206" "0.512129831784322"
"127" "Motesanib" "0.440125965691362"
"128" "MPS-1-IN-1" "0.640149903367855"
"129" "Navitoclax" "0.673502190645623"
"130" "NG-25" "0.65008856917928"
"131" "Nilotinib" "0.690911651308746"
"132" "NPK76-II-72-1" "0.699061404669151"
"133" "NSC-207895" "0.491220278851092"
"134" "NSC-87877" "0.430804551800618"
"135" "NU7441" "0.554127273598259"
"136" "Nutlin-3a (-)" "0.61005767462846"
"137" "NVP-BHG712" "0.656164009394317"
"138" "NVP-TAE684" "0.617946306990226"
"139" "Obatoclax Mesylate" "0.549723585311197"
"140" "Olaparib" "0.560168993138935"
"141" "Omipalisib" "0.53512302458146"
"142" "OSI-027" "0.639753765852353"
"143" "OSI-930" "0.673445855086743"
"144" "OSU-03012" "0.502013273152944"
"145" "PAC-1" "0.498816738206318"
"146" "Paclitaxel" "0.516691594949775"
"147" "Palbociclib" "0.581852510150068"
"148" "Parthenolide" "0.662543941960606"
"149" "Pazopanib" "0.496855246781977"
"150" "PD0325901" "0.647442538116293"
"151" "PD173074" "0.593843313907424"
"152" "Pelitinib" "0.546631264469349"
"153" "Pevonedistat" "0.589309499125969"
"154" "PF-4708671" "0.456728459143346"
"155" "PF-562271" "0.560183919956708"
"156" "PFI-1" "0.506035521447297"
"157" "PFI-3" "0.614742538765757"
"158" "PHA-665752" "0.551432930252137"
"159" "PHA-793887" "0.686406990719039"
"160" "Phenformin" "0.541673184474642"
"161" "PI-103" "0.617000298268363"
"162" "Pictilisib" "0.443288285289658"
"163" "PIK-93" "0.62690465126668"
"164" "Piperlongumine" "0.530060840763832"
"165" "PLX-4720" "0.66932413919403"
"166" "Ponatinib" "0.623064564236959"
"167" "Pyrimethamine" "0.56481059786989"
"168" "QL-VIII-58" "0.567596861210001"
"169" "QL-X-138" "0.607515030229053"
"170" "QL-XI-92" "0.689611623405608"
"171" "QL-XII-47" "0.5301696582438"
"172" "QL-XII-61" "0.622272143030863"
"173" "QS11" "0.496664301462955"
"174" "Quizartinib" "0.621215008585629"
"175" "Rapamycin" "0.541632177498397"
"176" "Refametinib" "0.751213077274034"
"177" "RO-3306" "0.405415409255034"
"178" "rTRAIL" "0.521574627421414"
"179" "Rucaparib" "0.482198345733621"
"180" "Ruxolitinib" "0.623818049170517"
"181" "S-Trityl-L-cysteine" "0.612104745707379"
"182" "Salubrinal" "0.589820665642776"
"183" "Saracatinib" "0.483976106114204"
"184" "SB216763" "0.468188338490956"
"185" "SB505124" "0.491291202249663"
"186" "SB52334" "0.524331646563911"
"187" "SB590885" "0.669455424570924"
"188" "Seliciclib" "0.455100508676026"
"189" "Selisistat" "0.662547430235136"
"190" "Selumetinib" "0.659994138661376"
"191" "Sepantronium bromide" "0.50368525902829"
"192" "Serdemetan" "0.533700106440924"
"193" "SGC0946" "0.573434627951822"
"194" "Shikonin" "0.454698076680783"
"195" "SL0101" "0.525283883698806"
"196" "SN-38" "0.598555594067735"
"197" "SNX-2112" "0.610723841586564"
"198" "Sorafenib" "0.450164780327681"
"199" "STF-62247" "0.638369799965098"
"200" "Sunitinib" "0.70857536586035"
"201" "T0901317" "0.70696730437232"
