ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
17-AAG	5.1633137521101e-07	0	0	0	0.0277193062248784	0	0.00458999136655569	5.16484213175517e-08	0	0	1.57696078417757e-12	0	0	0.0719426799250096	0	0.00103614687321407	0	0	2.6573632183613e-11	0	0	0.0500681582476301	1.4113155089035e-11	3.3133940036123e-10	0	0.00589065510398479	0	2.9428499637163e-09	0	0.00031709127498325	0	8.57173931834154e-09	0.000161126536793343
AZD0530	6.66133814775094e-15	1.07840780749768e-09	0	8.43769498715119e-15	0.934408599081208	0	8.29567778026785e-07	2.22044604925031e-15	0	4.12497350721353e-07	1	1.55431223447522e-15	9.12603326241879e-14	4.75996753124264e-09	0	0.28322992407292	0	0	0.000233355093386622	0.000296135370835948	1.04982689208555e-12	0	0.0269751585171325	0	0	7.87370169064161e-13	0	0.0449321159471738	0	2.48245868306185e-13	6.10507932652382e-06	1	8.90336249170787e-10
Erlotinib	0.0136482758356009	0	0	0	1	0.0182264217864847	1	0	0.327356456852112	0	0.0985655303330599	0.327367436593323	2.30593704131365e-08	0.0044092067113124	0.000360575755957715	1	0	0	0.00446276646790356	3.3782754371714e-11	0	9.8654967306544e-08	0	0.773899897891093	9.61797974596834e-10	0	0	1	0	0	0	1.60820827523889e-05	3.3471497640214e-07
Lapatinib	0.0712975449481688	0	0	4.35207425653061e-14	0.0247348501161939	9.31739834175715e-08	1	4.00480346463006e-06	9.08114829494266e-05	6.38465404101396e-07	1.98200698076079e-08	0	7.71843948754736e-07	0.000163967205871973	0	1	0.00214941655285195	0	0.00223365917575791	0.000811323979663658	1.60583368824518e-08	0.85495403200854	1.30505384277058e-10	0.049640582160662	3.44428449094991e-07	0	0	6.89156132160917e-08	0	0.0934764660555594	2.81427571913184e-07	0.580410520133863	0.835357943068189
Nilotinib	3.17967874252645e-13	0	0	0	8.88178419700125e-16	0	0.00112339834222941	0	0	0	1.39932510023755e-12	0	0	0	0	0	0	0	9.46722512384923e-07	0	0	0	0	3.25756660897181e-05	0	0	0	0	0	0	0	1.17153175605011e-07	2.24083044377821e-05
Nutlin-3	0.00377889346482285	0	0	0	0.00325558355714906	0	0.801243033625455	0	0.222474165940626	0	8.43753759589561e-05	0	0	0	2.60913157301701e-07	8.79296635503124e-14	0	0	0.0900916280943762	3.72901613365784e-05	0	1.9617751867429e-08	0	4.2813175227252e-10	7.54655034684859e-07	0	0	0.0109150450814686	0	0	0	0.000108635877020369	8.87554918449496e-10
Paclitaxel	0.0735993836785229	0	0	0	4.73959453455297e-05	8.34421420847775e-12	0.522259072339491	0	0.0399716109378931	0	5.97532046064941e-09	0	0	1	4.48530101948563e-14	1	0	0	0	0.000599752926190078	3.48598134682909e-05	0	0	0.0004662785783629	0.933228359028678	0	0	2.22044604925031e-16	0	1.7347456804373e-11	0.00970538317097525	0.0327693905898578	0.123510013735692
PD-0325901	0	0	0	0	7.74078579013349e-11	0	1.01325731494128e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000575694759377576	0	9.3560633329659e-06	0	0	0	0	0	0	0	0	0
PD-0332991	4.10170351017314e-08	0.0026744580886302	2.43431235169567e-07	1	0.00929424102927379	0.300930453334069	0.529122983648685	1	0.00419506011552007	0.0942165793018794	1.13977991265113e-05	0	6.43929354282591e-15	1.2259742874221e-06	0	0	0.00306133905600658	1	0.0170380224592697	3.07483684292009e-07	1.27862484480268e-05	1.42200091701739e-08	1.47459149557605e-07	0.438355663360836	2.12869721849529e-10	2.56723531775194e-05	2.38351250181346e-06	0.00534591254979278	0	0	1.3425927036792e-11	6.32751822728927e-05	3.82870855553108e-06
PF-2341066	1.15980558490492e-11	0	0	0	2.19346836249912e-08	0	0.00726098092912153	0	0	0	5.32907051820075e-15	0	0	1	0	0	0	0	5.77316661143357e-09	0	0	3.01980662698043e-14	0	2.12940776123105e-13	0	0	0	0	0	0	0	2.31630634508484e-05	4.02992248460521e-08
