ACC BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA UCEC UCS UVM
17-AAG 1 1 1 1 1 1 1 0.575456031253298 1 0.0166563971887794 0.00141282055454185 9.27848930262394e-39 1.42431538055046e-224 1 1 1 1 4.91594826774097e-09 1 1 1 1 1 1 1 1 0.0578335887505586 0.0210342619195963 0.000100023676636669 1
AEW541 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.181816740197351 1 1 0.0710307014775925 1 1 1 1 1 1 0.0514537792457663 1 1
AZD0530 0.291276571237512 1 9.55744343065834e-13 1 1 1 1 9.19989050925614e-11 1 0.0460663626911023 1 1 1.12397684092441e-159 1 1 1 1 1 1 1.34946928922665e-233 1 1 1 1 1 1 1 1 1 1
AZD6244 8.82033435068455e-23 1 5.24500618392854e-59 1 1 1 1 6.15457956774957e-28 1 1 1 1 9.52879267892277e-43 0.00318990880324631 1 1 1 1 1 7.07391190138339e-17 1 1 0.885575668804758 1 1 1 1 1 1 1
Erlotinib 0.000515728835795017 1 0.417388297395604 1 1 1 1 9.19989050925614e-11 1 1 1 1 6.25737830497973e-07 0.181446645332101 1 1 1 1 0.222678440168948 5.00825655395204e-129 1 1 1.15545380733359e-29 2.44226806606573e-37 0.0208807741807118 0.00174248090520296 1 1 0.0228611022719651 1
Irinotecan 1 1 1 1 0.00825306933562802 1 1 1 1 5.70403918545318e-56 7.37263464748883e-36 6.56417319964949e-37 1 3.36869898595442e-15 1 1 1 1 1 1 1 1 1 1 1 1 1.40006411633806e-92 1 1 1
L-685458 1 7.45533578260564e-56 1.16933159116727e-05 6.01011168591947e-13 0.0322250931300643 1 1.43001181433412e-06 1 1.53810729780612e-46 1 1 0.336670901873338 1 1 6.16832147059255e-07 1.01790688485415e-08 1 1 0.386649830490189 1 1 1 1 0.540598976864275 1 1 1 0.481792113074837 1 1
Lapatinib 0.291276571237512 1 1 1 1 1 1 2.52229698000422e-35 1 1 1 1 1.18060440240012e-144 1 1 1 1 1 1 3.40146405747879e-138 1 1 0.00830908197611713 0.17845476134527 1 1 1 1 1 0.0622642379905353
LBW242 1 1 1 1 1 1 1 1 1 1 3.05454115227876e-07 1.67781091556018e-45 1 0 3.20123545058905e-06 1 1 1 1 1 1 1 1 0.000328351015906508 0.000185030065491694 2.21631294996968e-08 1 1 1 0.295628810909397
Nilotinib 1 0.199582975764142 0.882661013724809 1.20606319737476e-06 1 0.271356743807779 1.95467537835311e-09 1 6.87081068557182e-10 1 1 1 1 1 0.00114661521958342 0.292777113919513 1 1 2.0645212539276e-15 1 1.23530268701105e-13 1 0.10918236398901 1 2.54231814017771e-05 1 1 0.290671348982448 1 1
Nutlin-3 1 0.643187659331714 1.79047144865038e-42 4.31985824294855e-23 1 0.678257278227668 0.00569543143706964 1 0.0772477722409655 0.0166563971887794 1 1 1 1 0.404340021718218 0.169819800271113 1 1 1 1 1.91788635258204e-05 1 1 1 0.082869202443305 1 1 0.601690745283257 1 1
Paclitaxel 4.52889950591676e-08 1 1.38370396905728e-08 1 0.00825306933562802 1 1 1 1 0.0166563971887794 0.000463638061563501 1.47283037231533e-186 1 0.00225508901158831 1.47960202343531e-05 1 1 1 0.00154514893329891 1 4.65465228948006e-05 1 1 1 0.000496828409135572 1 0.000494917421423428 1 1 1
Panobinostat 2.60932484707812e-07 8.520456697101e-12 1 4.45587577508544e-09 1 1 4.84725983186904e-12 1 2.93197910031871e-15 0.144881915077014 2.12998968577025e-05 1.24193027208219e-07 0.0377759694316967 0.00318990880324631 0.00648197182245031 5.81465407205723e-33 1 1 1 1 1 1 1 1 1 1 0.752442859939243 0.861700841274659 1 1
PD-0325901 0.598057708403256 1 0.825095737812513 1 1 1 1 6.72422596065901e-56 1 1 1 1 3.40627677450294e-294 1 1 1 1 1 1 0.00253162492779467 1 1 1 1 1 1 1 1 1 1
PD-0332991 0.116746132864282 0.00696719456162081 2.82293234606565e-07 4.6071089813843e-18 1 1 1.43001181433412e-06 1 1.17202494700542e-10 1.87625819994675e-05 2.12998968577025e-05 6.48334875942401e-17 1 0.114923438768434 3.20123545058905e-06 1.57316750084771e-15 1 1.29226266863366e-10 1 1 1 1 1 1 1 1 0.0578335887505586 5.99086304636646e-07 1 1
PF2341066 1 1 1.12891662816143e-10 1 1 1 1 1 1 5.48457854797185e-47 0.00141282055454185 1 2.58325474756389e-05 1 1 1 1 1 1 1 8.92170555360334e-160 1 1 1 1 1 0.599014559277591 1 1 1
PHA-665752 1 1 1.30634713497368e-19 1 1 1 1 0.0596977111784764 1 1 1 1 0 1 1 1 1 1 1 1.77044846187733e-95 1 1 1 1 1 1 1 1 1 1
