ACC BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA UCEC UCS UVM
17-AAG 1 0.816750441743856 1 0.0305800487966977 1 1.86624514948656e-210 0.227611650421365 1 0.000109250925312516 1 1 1 1 0.000342642018891801 1 1 1 1 1 1 1 1.36140798397793e-63 1 0.000900581307790611 3.09023566228081e-41 1 1 1 1 1
AEW541 1 0.00025716080498156 1 0.00306158678368067 1 7.17656340096588e-61 0.0582134606872374 1 1 1 1 1 6.25737830497973e-07 0.0280339511344157 0.00243272853333021 8.59360343630573e-07 1 1 9.03216616897267e-18 0.386837523492841 1 1.9822274472522e-31 0.10918236398901 0.221617576408802 4.98958071090758e-52 2.86292892111841e-13 1 1 5.4020370878013e-07 1
AZD0530 1 6.55174867554629e-43 1 3.51900467882672e-26 0.0322250931300643 0.0388918508292957 1 1 0.300105267412855 1 1 1.2897054885474e-08 1 1 0.176358412783183 7.40863781518166e-51 1 0.000141488851055957 1 1 1 1 1 1 1 1 1 2.69838100630129e-09 1 1
AZD6244 1 1 1 1 1 5.0808425280632e-183 4.69501043967754e-06 1 1 1 1 1 1 1 1 1 1 1 0.000312305790666837 1 1 2.93538514510809e-60 1 1 3.70725249840643e-103 1 1 1 1 1
Erlotinib 1 0.244811360583826 1 7.08892330975265e-21 1 1 0.00290836072116084 1 2.76246003003877e-177 1 1 1 1 1 1 9.21949148244667e-65 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Irinotecan 1 1 8.92535817490569e-07 1.20606319737476e-06 1 1 1 0.0596977111784764 6.48057795431864e-06 1 1 1 1.44186124789011e-43 1 1 0.000202561367576835 1 1 1 4.07947696052503e-09 1 1 1 0.17845476134527 0.421204603521925 1.79076037424122e-94 1 1 1 1
L-685458 1 0.0266713866350916 0.209640328642587 1 1 0.00804440188339467 1 1 0.000109250925312516 1 0.00196363285103065 0.0390297744289285 4.08315556275713e-05 0.0378264893791292 1.86223703689605e-07 0.141257876469594 0.080319816351195 1 0.863170380420637 1 1 1 2.06952653307691e-07 6.92833708762206e-10 1.36557489976755e-05 1.13293646842958e-46 0.141308465742491 1 1 1
Lapatinib 1 7.50276691472235e-09 2.95469414365683e-118 1.03932607120332e-48 1 1 0.00569543143706964 1 0.533946039603688 1 1 1 1 1 1 0.000202561367576835 1 1 1 1 1.24918847909842e-06 1 1 1 0.000496828409135572 1 1 1 1 1
LBW242 1 0.726560335192625 1.90236078785343e-21 4.02331895967315e-10 1 1 1 1 3.53074042146413e-06 1 1 1 1 1 0.000523387660590706 0.833151732914157 1 0.0227541930175328 1.4448718331476e-08 1 1.33762601843942e-18 1 1 0.464999857818802 4.231440256089e-05 1 1 1 1 1
Nilotinib 0.000515728835795017 0.00228198724044337 7.20306128811642e-15 1 1 1 1 0.851759534628244 1 1 1.00374671942204e-10 1 0.176427713453144 0.273650877894819 0.755396762647805 0.00420035804460467 0.000359482420664062 0.107642264353925 1 1 1 1 1.31257675564894e-24 2.44226806606573e-37 1 5.11038518756579e-53 1 1 1 0.600711374660518
