ACC BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA UCEC UCS UVM
X.5Z..7.Oxozeaenol 1 1 1 1 1 1 0.306647563000153 1 1 1 1 1 9.9150183778908e-06 1 0.000810375485160794 0.000672860315145899 1 1 1 1 0 1 1 1 0.7300043730372 1 8.69424235928905e-07 1 1 1
X5.Fluorouracil 0.00580729173622649 8.77256822581646e-11 1 1 0.00825306933562802 1 0.389870219068331 1 1 1.42912013947045e-72 0.0308341601588967 0.336670901873338 1 2.76349445859262e-11 2.87240157734508e-18 1 5.29498329556806e-06 1 0.00449457014552917 1 0.524829473066227 1 0.0194226011178323 1 0.00772465866004913 1 1.63132870623992e-09 1 1 1
A.443654 1 1 1 1 2.27400043879712e-17 1 1 1 1 1 0.261134131082213 0.00015863939972131 1 0 1 1 1 1 1 1 1 1 1 1 4.231440256089e-05 1 1 1 1 1
A.770041 1 1 2.35380227558019e-05 1 1 0.0183642502223345 1 1 1 1 1 1 2.16792020239748e-06 0 9.9162889328478e-06 1 1 1 0.863170380420637 2.35787956957953e-07 1 1 1 0.000328351015906508 0.000185030065491694 1 1 1 1 5.57770780259771e-08
Afatinib 0.598057708403256 1 1 1 1 1 1 5.05519131343449e-31 1 1 1 1 2.66587496242408e-60 1.35656639888135e-19 1 1 1 1 0.386649830490189 5.87595326836686e-142 1 1 0.000388079751188232 0.112214524415047 1 1 1 1 1 1
AICA.Ribonucleotide 1 1 1 1 0.00825306933562802 0.00804440188339467 1 1 1 8.00737219334035e-39 0.000129776714324197 8.51134262595959e-178 1 0.00318990880324631 1 1 1 0.422744109188817 6.06756543197505e-41 1 1 1 1 1 0.0646746152465404 1 0.0113336230654167 0.861700841274659 1 1
AKT.inhibitor.VIII 1 0.00025716080498156 2.06316749538771e-18 1 1 1 1 7.92141102047409e-67 0.91763222058476 1 1 1 8.47910737389549e-19 1 1 1 1 1 2.05951232443939e-30 1.34946928922665e-233 1 1 1 1 0.00169670293554273 1 1 1 1 1
Alectinib 1 1 1 1 0.00825306933562802 0.783396736754397 0.0582134606872374 1 1 1 1 1 3.00021634475213e-08 1 9.9162889328478e-06 1 1 1 1.10608493486116e-89 3.48186288305705e-120 1 1 1 1 6.31422017534802e-30 1 0.00150742289518984 1 1 1.66668791982751e-06
Amuvatinib 1 1.33429632398712e-09 1 1 1 0.0388918508292957 7.94564779486725e-09 1 8.52840784504296e-16 1 1 1 1 1 0.00243272853333021 0.00207149829151984 1 1 2.99440082926761e-152 1 1 1 1 1 6.31422017534802e-30 0.706796262652279 1 1 1 1
AR.42 1 2.56501583839323e-12 0.038884114737082 0.0305800487966977 1 1 0.172863287757807 1 0.1191706760207 1 1.06793928112743e-06 1 1 1.35656639888135e-19 1 0.00149717699598887 1 1 1 1 9.43711430673095e-200 1 1 1 1 1 1 1 1 1
AS601245 1 1 9.55744343065834e-13 1 1 1 1 0.131093989166456 1 1 1 1 0 1 1 1 1 1 0.293882187541154 1.47699431818547e-24 0.0434671846998322 1 1 1 1 1 1 1 1 1
AS605240 1 0.0808085576066483 1.01498652613233e-87 1 1 1 1 1 0.835738450909275 0.00151624990593867 8.23988784148622e-05 0.00573193500479986 0.0282979754794289 0.00022803659940459 1 4.36250797983129e-06 1 1 1 4.12987120607176e-13 0.0080141436783289 1 0.00339241066414717 1 1 1 8.69424235928905e-07 1 1 1
AT.7519 1 1 5.95263061606273e-108 1 1 0.783396736754397 1 1 1 1 3.05454115227876e-07 0.0390297744289285 1 1 1 1 1 1 1 1 5.2262811052885e-103 0.00709394030804454 1 1 1 1 1 1 1 1
Avagacestat 1 1 3.97888518965943e-188 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.386649830490189 1 1.88356834327739e-62 1 1 1 1 1 1 1 1 1
Axitinib 1 0.00025716080498156 5.72713697893376e-06 0.687217237536581 1 4.52108754856661e-48 0.732247470823069 1 1 0.384344128580942 1 1 1 1 0.603712758390689 1 1 1 1.5364852383709e-26 1 0.916048833886447 3.41111150973788e-30 1 1 0.7300043730372 1 2.75792085267832e-06 0.004199493956855 1 1
AZ628 1 1 4.50662653906961e-299 1 1 1 1 1 1 1 1 1 1 1 3.20123545058905e-06 4.36250797983129e-06 1 1 1 1 0.004141358524399 1 1 1 1 1.23486128777538e-15 1 1 1 1
AZD6482 1 1 1.44568404997486e-16 0.3464401070874 1 2.04227701188415e-96 4.84725983186904e-12 1 1 1 1 1 1 1 0.176358412783183 0.057478042696765 1 0.00305850211389887 2.93456500274093e-20 0.223163655318771 1 1.27097793637263e-40 1 1 1.64579013975203e-46 1 1 1 1 1
AZD7762 1 1 8.18855100545676e-32 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
AZD8055 1 0.0139678884144103 1 0.421397921298949 1 4.72793570731904e-46 1.2313245823855e-19 1 1 1 1 1 1 1 0.0219047935368601 1 1 3.62924790876856e-11 3.55848227894199e-09 1 0.0434671846998322 4.27250952182404e-22 1 1 1.07846728287021e-38 1 1 1.11058520377316e-08 1 1
BAY.61.3606 1 1 5.35805759340794e-111 1 1 1 1 1 1 0.384344128580942 1 1 1 1 1 1 1 1 1 1 1.28809976694401e-136 1 1 1 1 1 1 1 1 1
Belinostat 1 0.293874539086203 0.0893054077553497 0.00306158678368067 0.0322250931300643 1 1 1 2.18102509707131e-06 1 0.305026906473616 0.0187792950198981 1 6.32816581086491e-97 4.06404383789398e-05 1.96165954725816e-05 1 1 1 1 9.68729115325363e-108 1 1 1 1 1 1 0.725400411649777 1 1
Bexarotene 1 5.97129298176716e-05 8.92535817490569e-07 1 1 1 1 1 1 3.58845893439415e-06 1 1 5.4170083352646e-53 1 1 1 1 1 8.3195461261028e-06 1.18813402006609e-230 3.2410110048287e-15 1 1 1 4.231440256089e-05 1 4.44385223945109e-06 1 1 1
BI.2536 1 1 2.06316749538771e-18 1 1 0.0123764033771275 0.60669316702426 1 1 1.98680354700157e-17 0.0813844698056356 0.411198739520439 2.16792020239748e-06 8.76791794512663e-06 0.176358412783183 1 1 1 1.81132743985032e-61 2.57934407990253e-28 0.671648503457691 0.237541952232501 1 1 3.46706780820756e-73 1 1 1 1 1
Bicalutamide 1 1 1 1 1 1 0.60669316702426 1 1 1 1 0.411198739520439 1 1 0.000152039289054112 1 1 1 9.31894495241558e-81 1 1.28809976694401e-136 0.0266030358303936 1 1 4.24955618713182e-42 1 1 1 1 1
BIX02189 1 1 0.825095737812513 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.726681053669946 1 0 1 1 1 0.644197145196252 1 1 1 1 1
