ACC BLCA BRCA CESC CHOL COAD ESCA GBM HNSC KICH KIRC KIRP LGG LIHC LUAD LUSC MESO OV PAAD PCPG PRAD READ SARC SKCM STAD TGCT THCA UCEC UCS UVM
X.5Z..7.Oxozeaenol 1 1 1 0.0103226890585751 1 1 1 1 2.18102509707131e-06 1 1 1 1 1 1 1 1 1 1 1 1 1 2.57312550856142e-14 0 1 0.341615065849239 1 1 1 1.082166415326e-58
X5.Fluorouracil 1 1 0.209640328642587 2.1917837471286e-17 1 8.64761599136852e-08 1 4.69671789266609e-16 0.177170400043151 1 1 1 0.211320026050218 0.00022803659940459 1 0.00590180610629254 1 0.893373295496982 1 1 1 1 1 0.112214524415047 1 5.6064234691784e-57 1 6.28767246949114e-12 0.0228611022719651 1
A.443654 1 8.93714940959244e-100 3.24109509605112e-10 1.07656816654915e-93 1 1 0.732247470823069 1 8.52840784504296e-16 1 1 1 1 1 1 2.45185966859847e-06 1 0.687471553601534 1 1 1 1 1 1 1 1 1 1 1 1
A.770041 1 0.0482918499946641 1.44568404997486e-16 0.00306158678368067 1 1 0.60669316702426 1 1.09079092436377e-11 1 1 1 1 1 2.08964639908292e-12 5.58585213096553e-22 1 0.78901681937033 1 1 1 1 1 1 1 1 8.0100531275939e-130 1 1 1
Afatinib 1 0.643187659331714 1 5.63043494986752e-27 1 1 1.05065130146011e-10 1 1.11203908361917e-181 1 1 1 1 1 1 1.71860531724524e-31 1 1 1 1 1 1 1 1 1 1 1 1 1 1
AICA.Ribonucleotide 1 7.50276691472235e-09 2.40204759330571e-11 5.10430775156611e-107 1 1 0.306647563000153 1 2.13539911975729e-113 1 1 1 1 1 1 1.34524855683596e-06 1 1 1 1 1 1 1 1 1 0.568088054109521 1 1 1 1
AKT.inhibitor.VIII 1 1 0 0.687217237536581 1 1 1 1 1 1 1 1 1 1 4.06404383789398e-05 1 1 1 1 1 1 1 1 1 1 1.39186414406588e-06 1 0.222123510819405 1 1
Alectinib 1 0.643187659331714 0.00145826456837244 1.50945819868935e-34 1 1 1 0.575456031253298 1.64162911448352e-05 1 1 1 1 0.00022803659940459 0.755396762647805 5.40769701966079e-05 1 1.43223344303862e-07 1 1 1 1 5.96344015568642e-09 0.000900581307790611 1 1.85532022422594e-75 1 0.481792113074837 0.0228611022719651 1
Amuvatinib 1 0.00228198724044337 0.032066337212056 0.00306158678368067 1 0.489057527613153 1 1 1 1 1 1 0.468434232007098 1.28942098058559e-21 0.0219047935368601 0.000672860315145899 1 0.0804548377785088 1 0.386837523492841 0.460104252908968 1 1 6.76090259912457e-11 1 2.58057898557944e-86 1 3.03483167238006e-11 1 1
AR.42 0.598057708403256 0.00509037190626407 4.90441718039762e-12 1 1 1 1 0.258415462697688 1 1 1 1 5.6368941067962e-06 1 0.0219047935368601 0.00820885172614636 6.14587582276701e-32 4.91594826774097e-09 1 0.0534666454930708 1 1 1.91075670019453e-21 4.86008793691563e-07 0.00169670293554273 3.79878572419965e-96 1 0.0789357690231947 0.0642781935433018 1
AS601245 1 0.000171325165437477 0.160721142138824 2.03015677963441e-29 1 1 0.120442313055646 1 3.23630659018706e-30 1 1 1 1 0.329783240974126 0.000152039289054112 2.45185966859847e-06 0.0407100627099086 0.107642264353925 1 1 1 1 0.000388079751188232 0.221617576408802 1 1.70753829646024e-05 1 6.29210598286891e-10 1 1
