	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
GSM505327	0.4974379	0.5889825	0.6006213	0.5504739	0.5437836	0.37987232	0.66201353	0.6587004	0.7075689	0.6013643	0.45296323	0.12066278	0.66834784	0.31486467	0.17210999	0.37604722	0.45529994	0.55682075	0.6620412	0.15912235	0.35848778	0.63198864	0.42956156	0.73986185	0.63564193	0.7096145	0.39958602	0.42794225	0.6172109	0.61255693	0.579957	0.45955944	0.43211487	0.35084477	0.6061384	0.4236611	0.49948487	0.59841585	0.46353754	0.49181622	0.56502753	0.34111375	0.41075468	0.65205705	0.50438124	0.71520525	0.16393799	0.6249535	0.2940551	0.5678018	0.50310296	0.6952096	0.5776943	0.31435522	0.6867596	0.5749413	0.59645486	0.20489061	0.54389936	0.3582422	0.36738992	0.62771356	0.61585927	0.6035152	0.7037524	0.6117951	0.64934945	0.6556678	0.5348115	0.31201965	0.57171094	0.64989674	0.60028684	0.66732305	0.5149194	0.5873467	0.6233633	0.61467755	0.5304941	0.6528684	0.33328432	0.45438594	0.5797288	0.39560586	0.2985785	0.11317599	0.1417534	0.41538256	0.49980953	0.5949205	0.5926467	0.6229929	0.21761495	0.45063603	0.6526498	0.5992626	0.42572287	0.66878676	0.5806117	0.61511856
GSM505328	0.52258945	0.51246125	0.5282023	0.44847354	0.524186	0.535873	0.6272764	0.5856512	0.6644496	0.50933653	0.4912479	0.15777138	0.5558279	0.4061187	0.22229385	0.5002048	0.47942823	0.621324	0.63557017	0.2509945	0.45825428	0.5914525	0.467319	0.7164987	0.5418429	0.7117835	0.40658534	0.45544538	0.5050389	0.52108544	0.4785044	0.4266348	0.49210858	0.4472481	0.5659508	0.56153715	0.54153854	0.51474273	0.5666537	0.5293671	0.55237484	0.48619422	0.4699866	0.5082627	0.66215646	0.7011678	0.21045446	0.5721899	0.38485423	0.4570078	0.5705951	0.64326227	0.4366297	0.46162632	0.6479887	0.43590868	0.48360977	0.29945022	0.427774	0.44883215	0.47344622	0.65957415	0.59607416	0.64676994	0.6543602	0.48870134	0.58488244	0.5629984	0.5001378	0.4236565	0.46646923	0.5627124	0.44967896	0.6579365	0.4372111	0.45950162	0.58868825	0.50751704	0.5776606	0.6422802	0.4591416	0.49344465	0.61827046	0.5329013	0.3859612	0.18021029	0.1993323	0.46929574	0.5119026	0.46778145	0.48449716	0.48890653	0.30649552	0.47341347	0.61235285	0.48056456	0.5430317	0.6652114	0.63261503	0.5007908
GSM505329	0.48497465	0.6272759	0.6071316	0.54608023	0.43404496	0.44719422	0.6460064	0.6703499	0.70241827	0.6308238	0.490846	0.10001305	0.6682658	0.37779462	0.13839787	0.43018886	0.4456956	0.6159843	0.6637395	0.180267	0.37370598	0.6167204	0.46620837	0.7479079	0.6731848	0.7244371	0.4244327	0.4161181	0.6357943	0.62909067	0.5947003	0.34870008	0.4486389	0.40293002	0.63816535	0.4565916	0.5313397	0.6043018	0.500025	0.5313518	0.44904372	0.45533285	0.50282127	0.6395865	0.56906474	0.70769566	0.13822913	0.6259461	0.35304338	0.58158237	0.5486581	0.69505787	0.56782275	0.3865228	0.68744427	0.5614424	0.63820267	0.16541696	0.5493314	0.422055	0.42522043	0.6585729	0.48502666	0.6527972	0.6860615	0.6134643	0.6384745	0.68167233	0.4235989	0.37585607	0.5747972	0.66579235	0.5873855	0.68275666	0.5422116	0.58017105	0.4978009	0.6237982	0.5740918	0.53637135	0.37674978	0.526874	0.451065	0.45448488	0.34569746	0.11333725	0.10684237	0.45275012	0.5387791	0.5851864	0.57927746	0.6211864	0.25893128	0.48117498	0.64389205	0.61998236	0.49452245	0.69755805	0.64821106	0.6184203
GSM505330	0.26039734	0.5483793	0.5992087	0.52104086	0.5726197	0.43957883	0.66805893	0.63113105	0.6718417	0.5836607	0.3003645	0.18095922	0.61385703	0.3579039	0.25185555	0.41236037	0.22768658	0.6267086	0.6759666	0.24333555	0.36389434	0.61864865	0.23407212	0.7528023	0.6158263	0.7172321	0.42267624	0.20970425	0.5942613	0.581844	0.5658438	0.47453147	0.27937365	0.4055783	0.6064031	0.4611864	0.28642923	0.5703594	0.53106487	0.30348915	0.589041	0.43937925	0.4264925	0.633632	0.5540582	0.69640046	0.23577285	0.6237339	0.3156703	0.54972434	0.32344657	0.66906023	0.5176585	0.40493107	0.666538	0.5294471	0.56572837	0.30576926	0.55534977	0.34679657	0.42707643	0.6888338	0.6302978	0.6542491	0.676513	0.5847441	0.62834394	0.63905483	0.5546025	0.35809863	0.5382041	0.643917	0.59307045	0.67192376	0.50364465	0.589361	0.675252	0.5894423	0.57209796	0.67887974	0.3853459	0.28950244	0.62088346	0.52353203	0.3086761	0.21442145	0.22685874	0.25118738	0.3256908	0.55206627	0.5611128	0.58595175	0.26865172	0.27092284	0.639241	0.5966167	0.5021639	0.676178	0.63612735	0.58828074
GSM505331	0.4937191	0.5914856	0.5445299	0.54352456	0.4822011	0.5609174	0.62096316	0.61817837	0.64507014	0.6223131	0.45613223	0.16153467	0.66698444	0.4435598	0.24928713	0.4995941	0.43323705	0.56944394	0.62397623	0.20947331	0.5194498	0.5439506	0.42561665	0.7003034	0.6819212	0.6897726	0.44760054	0.4072399	0.6256833	0.638148	0.6037613	0.35760117	0.38437927	0.46929136	0.5678446	0.5739873	0.49534455	0.59296596	0.58790636	0.50543517	0.5019096	0.55475324	0.50865215	0.6588127	0.6699662	0.68691516	0.20334351	0.61165005	0.40712488	0.5408569	0.4716911	0.6815634	0.5496955	0.4858613	0.6479547	0.5539026	0.5637026	0.30028656	0.5563033	0.49703258	0.50328875	0.59245825	0.55343384	0.6132692	0.64988035	0.5686098	0.6134442	0.65392	0.4227715	0.45705822	0.56832534	0.6676706	0.62496275	0.6748236	0.49796534	0.60005885	0.56586975	0.6218588	0.53035665	0.6131742	0.47789592	0.4521587	0.56386125	0.5791582	0.40031135	0.14921835	0.173469	0.43476897	0.46904036	0.6055307	0.5827963	0.6254544	0.3378141	0.43653777	0.605729	0.6040382	0.58189565	0.6481526	0.5778052	0.60570645
GSM505333	0.5646603	0.41186532	0.5245191	0.36987942	0.5520722	0.5396985	0.5322885	0.47223535	0.5967364	0.43277183	0.5125103	0.5172178	0.4685793	0.46051845	0.60570115	0.46574673	0.46774706	0.567095	0.5201643	0.4266791	0.44055787	0.4854923	0.48536515	0.6397098	0.4591049	0.5817568	0.4114843	0.44942608	0.45204002	0.47773546	0.3924475	0.4399155	0.4787549	0.45172715	0.51110417	0.5247321	0.5616627	0.42242762	0.5850413	0.5620562	0.5973276	0.54414594	0.5191743	0.529682	0.66375625	0.5992956	0.57478935	0.52031916	0.38124657	0.4026935	0.5650768	0.5203806	0.3923205	0.420102	0.5321179	0.37060916	0.40670294	0.64853954	0.40711063	0.47233596	0.4817727	0.6128087	0.6383409	0.6247154	0.51112247	0.42292443	0.4793189	0.47221395	0.51543975	0.3923419	0.39713305	0.45952603	0.45873204	0.5575878	0.35000122	0.46222717	0.65106237	0.4222096	0.52313906	0.6624153	0.4250639	0.5144006	0.6182872	0.5481892	0.44182694	0.42314416	0.49940735	0.4818951	0.53969616	0.40272817	0.4822733	0.47886974	0.3349333	0.52605	0.54434097	0.492097	0.5431559	0.55365586	0.5737323	0.41634378
GSM505334	0.3187669	0.5107658	0.5473246	0.48255962	0.5709958	0.56628335	0.55844355	0.5540797	0.6219405	0.5466224	0.37215766	0.14676139	0.58629906	0.4710706	0.20806798	0.51509535	0.30123407	0.63487846	0.5832701	0.2008928	0.45195553	0.5696192	0.3168667	0.6800995	0.5865065	0.6365126	0.47842914	0.28962094	0.5346378	0.6291498	0.535711	0.4964358	0.3452438	0.5148069	0.5816847	0.5261263	0.3852563	0.5094571	0.6316523	0.37245193	0.6015092	0.54875994	0.54913527	0.6343981	0.6479444	0.63420266	0.20009574	0.5862452	0.40569672	0.4960583	0.39966923	0.6020457	0.48360068	0.47396755	0.6054707	0.49178404	0.51742196	0.2549352	0.5303877	0.4269731	0.54058427	0.66156226	0.6189593	0.67722076	0.5772635	0.52821213	0.5287611	0.6004217	0.58482254	0.40414017	0.4990341	0.5922363	0.55257285	0.5846431	0.43470198	0.5645339	0.6830423	0.5517744	0.58263725	0.6954089	0.492659	0.3606743	0.6290328	0.5627161	0.43476564	0.17095095	0.17511132	0.29721317	0.3848689	0.5190643	0.5759775	0.5835176	0.32739133	0.3393917	0.5657451	0.56676894	0.5909339	0.6213764	0.6191519	0.5391405
GSM505335	0.51604325	0.5291693	0.61133075	0.50366414	0.45969886	0.5077928	0.65528196	0.6478784	0.6616403	0.5591624	0.47734022	0.23368758	0.6062539	0.4429008	0.29330665	0.51100224	0.45233613	0.58426356	0.64864355	0.25074172	0.4586762	0.6176261	0.4542691	0.7385433	0.5970638	0.71409243	0.43358934	0.40979373	0.5689727	0.55369204	0.52670974	0.3677625	0.44533393	0.45622098	0.6043004	0.5311817	0.56077397	0.5596372	0.6023276	0.52179545	0.5056224	0.5290972	0.52342945	0.572423	0.6857035	0.70824564	0.2735877	0.6163552	0.37767267	0.50130796	0.57051986	0.67037725	0.5268759	0.4477682	0.67767596	0.49683455	0.5341387	0.3436759	0.45744193	0.4517799	0.50718254	0.58800614	0.50864995	0.60740674	0.6430225	0.5561219	0.61899066	0.5871545	0.42137897	0.40719724	0.5249729	0.5960233	0.551977	0.68379235	0.48023608	0.5393423	0.5472514	0.560566	0.52131015	0.5911737	0.42563957	0.5121826	0.538832	0.5275483	0.39516455	0.15325049	0.23490685	0.46858993	0.51024914	0.5116601	0.54617184	0.55924904	0.30536884	0.4905166	0.6415746	0.56578827	0.54408336	0.66780853	0.59573776	0.5571647
GSM505336	0.5215668	0.52116764	0.5304528	0.4678776	0.5447683	0.5425577	0.5915379	0.55583733	0.67921066	0.5193742	0.42827332	0.4904894	0.5725013	0.46423936	0.55181265	0.50989825	0.4279762	0.6373755	0.58053756	0.47625718	0.49084288	0.53963184	0.48179317	0.68702805	0.5515927	0.63610756	0.4117468	0.45730904	0.5468235	0.54232126	0.49976844	0.43553805	0.3760457	0.51400626	0.54051644	0.5657602	0.5169839	0.51634896	0.5323274	0.4969188	0.5628375	0.54958963	0.43670636	0.6290304	0.6798496	0.64610344	0.52677	0.5813747	0.3885235	0.47983435	0.45919245	0.6013143	0.50208133	0.47070354	0.6019393	0.4724745	0.49435577	0.59652776	0.5021981	0.4881818	0.56024593	0.66162235	0.62241465	0.6550932	0.55917346	0.51887304	0.55160636	0.5811133	0.517033	0.4229406	0.47561887	0.5649801	0.54879165	0.5847465	0.46177945	0.54394954	0.628229	0.56224775	0.5741614	0.62221307	0.46524814	0.43112013	0.59079	0.5475965	0.49901468	0.42975718	0.47973293	0.41643152	0.44208366	0.5139352	0.54726297	0.5261836	0.34481946	0.43432605	0.5854573	0.5457062	0.57328093	0.5909589	0.6143787	0.5024923
GSM505337	0.46209618	0.44900125	0.546474	0.39930597	0.5210582	0.52586544	0.5815702	0.53615093	0.64516443	0.4354981	0.4749934	0.23652196	0.5019543	0.5035969	0.27717102	0.4934804	0.40378404	0.61142457	0.5797719	0.26593652	0.48113373	0.53399974	0.42292762	0.7295628	0.5065656	0.64103156	0.50322086	0.4068528	0.4467731	0.50057435	0.4128583	0.45673957	0.41837847	0.49464172	0.6096692	0.5584926	0.4728883	0.4659629	0.59477895	0.46000558	0.561482	0.5069224	0.5231126	0.5149427	0.65772045	0.6438141	0.24935874	0.5959893	0.36975598	0.40947035	0.5170072	0.5998881	0.38200718	0.46765035	0.57843494	0.36534777	0.44139355	0.34693998	0.3794672	0.4479489	0.5041686	0.6537949	0.6318617	0.66131216	0.6286396	0.41733044	0.5523003	0.48770556	0.5393094	0.42755088	0.4232911	0.4983355	0.461932	0.63849854	0.4115083	0.42128187	0.6160915	0.459521	0.565969	0.63277614	0.49333856	0.5006606	0.59622455	0.5468211	0.42571646	0.21386933	0.22369096	0.42696244	0.5068096	0.47491506	0.43709534	0.47805628	0.3185258	0.46025223	0.5916506	0.47003654	0.55888724	0.6733255	0.64068246	0.4471382
