cancer	drug	p	FC
ACC	X17.AAG	0.385813246016771	0.871236171236171
ACC	AEW541	0.506304196501393	1.86767738023044
ACC	AZD0530	0.153946522845407	2.36039438502674
ACC	AZD6244	0.247983280285338	1.98642294946147
ACC	Erlotinib	0.00595345955490275	0.406767605633803
ACC	Irinotecan	0.0288740712897483	3.2629953076121
ACC	L.685458	0.0219165881092201	0.408186557700437
ACC	Lapatinib	0.842531245452716	0.860849056603774
ACC	LBW242	0.0107569951091911	0.381429969247973
ACC	Nilotinib	0.123102849459005	0.602399761514384
ACC	Nutlin.3	0.0542916290910514	0.44308798405467
ACC	Paclitaxel	0.000821616762891501	1.39830322933771
ACC	Panobinostat	0.493600095840875	0.54765923099501
ACC	PD.0325901	0.127109199339661	2.06010090393105
ACC	PD.0332991	0.922863574592104	0.811529356060606
ACC	PF2341066	0.491534148737988	1.79856545128512
ACC	PHA.665752	0.191930374671358	0.617821856287425
ACC	PLX4720	0.0209344860283158	0.405822303576457
ACC	RAF265	0.0108411788163106	2.82911008729389
ACC	Sorafenib	0.25440724879744	1.62272640061397
ACC	TAE684	0.086941492983399	2.61327030812325
ACC	TKI258	0.0153660295327014	0.448894751853965
ACC	Topotecan	0.00663756311064283	3.37344123109578
ACC	ZD.6474	0.367649138983743	1.87157596601254
BLCA	X17.AAG	0.873496659084908	1.00553712207682
BLCA	AEW541	0.710547696140491	1.01390230271472
BLCA	AZD0530	0.00262042366246708	0.911941207902235
BLCA	AZD6244	0.145243580683892	1.01621738529927
BLCA	Erlotinib	0.010539605922545	0.738506503138064
BLCA	Irinotecan	0.000480928001781028	1.3510314344778
BLCA	L.685458	0.0390942636921928	1.26046134360632
BLCA	Lapatinib	0.515197575153789	1.03725037248871
BLCA	LBW242	0.790595000720222	0.972458495243113
BLCA	Nilotinib	0.170506444618089	1.15394805312206
BLCA	Nutlin.3	0.501185998390374	0.904460756942269
BLCA	Paclitaxel	0.704964236224988	0.924738311158747
BLCA	Panobinostat	0.00327731485625177	1.32710508078738
BLCA	PD.0325901	0.34597083816092	1.08744157579513
BLCA	PD.0332991	0.108542673771305	1.23105943309031
BLCA	PF2341066	0.00232162158907962	1.50657467981435
BLCA	PHA.665752	3.16786360484594e-05	1.52803712200274
BLCA	PLX4720	0.0153054122128293	0.840447173985053
BLCA	RAF265	0.0651569794134973	1.11811042621002
BLCA	Sorafenib	0.0177228003716537	1.22609333871762
BLCA	TAE684	0.00225470964195223	1.24989272206532
BLCA	TKI258	0.19214152491531	1.13941758598703
BLCA	Topotecan	0.0284172505503559	1.32107657194291
BLCA	ZD.6474	0.620817657959248	1.07239452762077
BRCA-Basal	X17.AAG	0.387661594695161	1.38431070731341
BRCA-Basal	AEW541	0.153150422259552	0.559678899082569
BRCA-Basal	AZD0530	0.817184756146967	0.631986899563319
BRCA-Basal	AZD6244	0.352885496583635	1.69892667631452
BRCA-Basal	Erlotinib	0.581997131379244	0.669234404536862
BRCA-Basal	Irinotecan	0.503184819250966	1.28762670780079
BRCA-Basal	L.685458	0.398831501690879	1.0291557275114
BRCA-Basal	Lapatinib	0.01869676188033	0.45261306980057
BRCA-Basal	LBW242	0.976339308614336	1.17313331426119
BRCA-Basal	Nilotinib	0.966810113213412	1.14963549075391
BRCA-Basal	Nutlin.3	0.206399351834263	0.938488042156465
BRCA-Basal	Paclitaxel	0.0315898220700597	0.837830940463646
BRCA-Basal	Panobinostat	0.986462363674394	1.200574071408
BRCA-Basal	PD.0325901	0.138126395807357	1.89419777368597
BRCA-Basal	PD.0332991	0.266879531819593	0.980551952484981
BRCA-Basal	PF2341066	0.399252194038343	1.03538437586493
BRCA-Basal	PHA.665752	0.664932191503191	1.1081073943662
BRCA-Basal	PLX4720	0.628697387846275	1.06739016736402
BRCA-Basal	RAF265	0.0631019722978302	0.787625146274867
BRCA-Basal	Sorafenib	0.953824272971884	1.1394742443593
BRCA-Basal	TAE684	0.422945305569696	1.29210477941176
BRCA-Basal	TKI258	0.826541412475112	1.27234299516908
BRCA-Basal	Topotecan	0.860895731536074	1.2184473037444
BRCA-Basal	ZD.6474	0.000673924930518752	0.377076315483796
BRCA-HER2	X17.AAG	0.785991938664706	0.844476673918298
BRCA-HER2	AEW541	0.842272962683382	1.24870880144827
BRCA-HER2	AZD0530	0.0116021576291523	1.3101176978728
BRCA-HER2	AZD6244	0.618176738829381	1.30843542554914
BRCA-HER2	Erlotinib	0.982381627377392	0.81634024577573
BRCA-HER2	Irinotecan	0.924124540307633	1.08483264134502
BRCA-HER2	L.685458	0.592785243184856	1.00301598471901
BRCA-HER2	Lapatinib	0.595706253418365	1.24217130097294
BRCA-HER2	LBW242	0.758454803001572	1.08786868427802
BRCA-HER2	Nilotinib	0.108163093815384	0.578738381012544
BRCA-HER2	Nutlin.3	0.406645946528856	0.927115716753022
BRCA-HER2	Paclitaxel	0.473078991438916	0.729167644711516
BRCA-HER2	Panobinostat	0.446790974519957	0.958281537467058
BRCA-HER2	PD.0325901	0.871929388146387	1.06070027011875
BRCA-HER2	PD.0332991	0.416450361657011	0.92992938620315
BRCA-HER2	PF2341066	0.186896958920698	0.662882982650425
BRCA-HER2	PHA.665752	0.0600310374579924	0.538046146293569
BRCA-HER2	PLX4720	0.157420118519738	0.61673808004376
BRCA-HER2	RAF265	0.340818358461534	0.727895626055941
BRCA-HER2	Sorafenib	0.45709709889429	0.961138478379858
BRCA-HER2	TAE684	0.934458335421815	0.90892120259383
BRCA-HER2	TKI258	0.58889330924944	1.03535967578521
BRCA-HER2	Topotecan	0.0932915250732451	0.56935817805383
BRCA-HER2	ZD.6474	0.536402671584377	0.741933964485893
BRCA-LumA	X17.AAG	0.564760413013526	1.16456608005521
BRCA-LumA	AEW541	0.481776308378669	0.742989602731223
BRCA-LumA	AZD0530	0.434044725551457	0.771109860388037
BRCA-LumA	AZD6244	0.0811224555093699	0.732486072423398
BRCA-LumA	Erlotinib	0.304994167111646	0.778608017294046
BRCA-LumA	Irinotecan	0.0145200790001964	1.86151857217594
BRCA-LumA	L.685458	0.407978444579341	0.986301086992434
BRCA-LumA	Lapatinib	0.481553893092383	0.984511484288569
BRCA-LumA	LBW242	0.39225878041991	0.949051570350731
BRCA-LumA	Nilotinib	0.035479500824189	1.87305621104859
BRCA-LumA	Nutlin.3	0.459699063298423	1.21329894927916
BRCA-LumA	Paclitaxel	0.431279325473743	0.898733921530606
BRCA-LumA	Panobinostat	0.209275279120852	1.67500822543498
BRCA-LumA	PD.0325901	0.36318112678438	0.790450824180141
BRCA-LumA	PD.0332991	0.040076090050702	2.12267900292509
BRCA-LumA	PF2341066	0.0243139035923828	1.83072401175694
BRCA-LumA	PHA.665752	0.0186600976199383	2.29740850317773
BRCA-LumA	PLX4720	0.277476908870197	1.60083433339048
BRCA-LumA	RAF265	0.069499191957332	1.93248208708433
BRCA-LumA	Sorafenib	0.165394238696955	1.67992831541219
BRCA-LumA	TAE684	0.00487943567616855	1.26045196244529
BRCA-LumA	TKI258	0.424658516771606	0.975587353367602
BRCA-LumA	Topotecan	0.177874207728327	1.05550934328158
BRCA-LumA	ZD.6474	0.944926058650612	0.839122028072186
BRCA-LumB	X17.AAG	0.417497400893708	1.29532710280374
BRCA-LumB	AEW541	0.753952478923827	0.775170147852617
BRCA-LumB	AZD0530	0.0331136192651236	0.550993377483444
BRCA-LumB	AZD6244	0.0894243403766414	0.593031047576502
BRCA-LumB	Erlotinib	0.258273781330961	0.754025670945157
BRCA-LumB	Irinotecan	0.0507985938582314	1.30567451820128
BRCA-LumB	L.685458	0.311111340903855	1.49455155071249
BRCA-LumB	Lapatinib	0.392720308678172	1.42774566473988
BRCA-LumB	LBW242	0.342548864944739	1.42774566473988
BRCA-LumB	Nilotinib	0.281823189137004	1.57508532423208
BRCA-LumB	Nutlin.3	0.0680755757963807	2.56224066390041
BRCA-LumB	Paclitaxel	0.110118252207006	1.93435582822086
BRCA-LumB	Panobinostat	0.0208256579887595	2.12782913611731
BRCA-LumB	PD.0325901	0.0374712177830024	0.562001771479185
BRCA-LumB	PD.0332991	0.120301077650905	1.8627569528416
BRCA-LumB	PF2341066	0.0293016262559748	2.6941592920354
BRCA-LumB	PHA.665752	0.02915959446345	2.69617563739377
BRCA-LumB	PLX4720	0.760481040857508	1.37119565217391
BRCA-LumB	RAF265	0.921707988045835	0.960118168389956
BRCA-LumB	Sorafenib	0.298613732340374	1.54920814479638
BRCA-LumB	TAE684	0.208110261438071	1.77471059661621
BRCA-LumB	TKI258	0.747662278587404	1.1088122605364
BRCA-LumB	Topotecan	0.129773739094346	1.75354609929078
BRCA-LumB	ZD.6474	0.00248616733346271	0.484835355285962
CESC	X17.AAG	0.00791727571052039	1.01134755560302
CESC	AEW541	0.0314309087595454	0.580737421645971
CESC	AZD0530	0.000662422716454375	0.418517338672977
CESC	AZD6244	0.0926802374245546	0.746278333291774
CESC	Erlotinib	0.576708566418422	0.67579271873165
CESC	Irinotecan	0.00354123662416373	1.17035392088827
CESC	L.685458	0.00132719962916277	2.80850570268703
CESC	Lapatinib	0.653425782119492	1.95995378012545
CESC	LBW242	0.0644570685817464	0.78850615291507
CESC	Nilotinib	0.000212083414497485	1.28391787852866
CESC	Nutlin.3	0.583637947477744	0.832674302915891
CESC	Paclitaxel	0.00928939286559972	0.939660936946859
CESC	Panobinostat	0.0139089677484618	2.71710714081854
CESC	PD.0325901	0.54833576991569	0.818986006431195
CESC	PD.0332991	0.378856328157518	0.951057870583439
CESC	PF2341066	0.13187016562494	1.14138434820961
CESC	PHA.665752	0.0677368939506786	0.909418545648525
CESC	PLX4720	0.573033570975689	0.955999684019275
CESC	RAF265	0.583818763330233	1.8599155708671
CESC	Sorafenib	0.00310820063025127	1.2058453010834
CESC	TAE684	0.588253752459204	2.38561084026384
CESC	TKI258	0.00262318152311994	2.8025606859394
CESC	Topotecan	0.0414374686919528	0.869893359435372
CESC	ZD.6474	0.0682672231959125	0.538651780667044
COAD	X17.AAG	6.48037632488684e-05	2.34274823248484
COAD	AEW541	0.0010413528005419	0.656628146038174
COAD	AZD0530	7.20864055845674e-05	0.55054302878804
COAD	AZD6244	0.0148088850510365	0.850653070282972
COAD	Erlotinib	0.612733368074706	0.897307230001089
COAD	Irinotecan	0.0169552134571014	1.58098623541088
COAD	L.685458	0.000116192534757166	2.39252163087906
COAD	Lapatinib	0.00754899132034266	2.0568750300207
COAD	LBW242	0.00140827219406665	2.03189117332595
COAD	Nilotinib	0.0203203186943378	1.81423834679673
COAD	Nutlin.3	0.00135494126337875	2.37054082282559
COAD	Paclitaxel	0.00758094979941569	1.85404071192005
COAD	Panobinostat	8.36710480901479e-05	2.48975799602043
COAD	PD.0325901	0.000312634837378369	0.488172759162675
COAD	PD.0332991	0.0132332350901776	1.84027587409097
COAD	PF2341066	0.184008299599505	1.28205622285461
COAD	PHA.665752	2.81787361220925e-07	3.62031562683238
COAD	PLX4720	0.0400434359979426	1.80145883247384
COAD	RAF265	3.62516931546367e-08	2.90900448916842
COAD	Sorafenib	2.67992359497407e-06	2.15418867941478
COAD	TAE684	0.100688749847895	1.39508168751747
COAD	TKI258	3.03654332618746e-07	3.30075225697236
COAD	Topotecan	1.8520963575229e-06	3.45823392157562
COAD	ZD.6474	0.572226026755952	1.46493590678529
ESCA	X17.AAG	0.00101382160797791	1.7584845125751
ESCA	AEW541	0.819410410470625	0.895896802178957
ESCA	AZD0530	0.272587847425772	0.753363471070566
ESCA	AZD6244	2.75195655016746e-05	1.87799232132216
ESCA	Erlotinib	0.0744075656437603	0.716311442685561
ESCA	Irinotecan	0.142103695989132	0.95881232804565
ESCA	L.685458	0.984146568150988	1.17511754352287
ESCA	Lapatinib	0.788223723782406	0.818486324299408
ESCA	LBW242	0.190248378697307	0.880230075603446
ESCA	Nilotinib	0.0405168348664314	0.897920330647746
ESCA	Nutlin.3	0.221416915333586	0.88000718316828
ESCA	Paclitaxel	0.0177081991745064	0.656792916266369
ESCA	Panobinostat	0.885515698664656	1.13927061806622
ESCA	PD.0325901	1.8598405938672e-05	1.8313076665383
ESCA	PD.0332991	0.481212757374238	1.61720343901257
ESCA	PF2341066	0.347821480563339	1.57926067672407
ESCA	PHA.665752	0.199588757635307	1.34852812151887
ESCA	PLX4720	0.00125291580810986	0.64476480230186
ESCA	RAF265	0.426145735808264	1.0652358165269
ESCA	Sorafenib	0.090047184658905	0.92430585811421
ESCA	TAE684	0.0995752471826284	1.27374309407557
ESCA	TKI258	0.0803678748447757	0.937461605715873
ESCA	Topotecan	0.0421094887400753	0.886705177588857
ESCA	ZD.6474	0.78804756297308	0.788190281445303
GBM	X17.AAG	0.0171161467951327	0.254384427972549
GBM	AEW541	0.62299999434497	0.290464990926233
GBM	AZD0530	0.0559689289868537	0.274253561692391
GBM	AZD6244	0.857249006035559	0.46661435564025
GBM	Erlotinib	0.146213406085045	0.28828640764032
GBM	Irinotecan	0.844589384477871	5.89502208050854
GBM	L.685458	0.0660404374639669	0.271416228162882
GBM	Lapatinib	0.498275655377773	0.364161463787772
GBM	LBW242	0.275561247757025	0.35422950670019
GBM	Nilotinib	0.0234194117323531	0.260905080567214
GBM	Nutlin.3	0.00537968925573184	0.249679098196873
GBM	Paclitaxel	0.0284935780236311	0.256967030046182
GBM	Panobinostat	0.0363097720478161	0.262595781189906
GBM	PD.0325901	0.457559918816446	0.297479261759769
