cancer	drug	p	FC
ACC	X.5Z..7.Oxozeaenol	0.000313877680690273	3.18937403400309
ACC	X5.Fluorouracil	0.00293731972490704	3.69428491775857
ACC	A.443654	0.003564486107436	1.94887975334018
ACC	A.770041	0.112396557718866	0.595529604284439
ACC	Afatinib	0.126513243500192	0.485642208447456
ACC	AICA.Ribonucleotide	0.45928148584131	1.00044753853804
ACC	AKT.inhibitor.VIII	0.0504880593837544	0.951940078585462
ACC	Alectinib	0.0246041307058227	2.71240199572345
ACC	Amuvatinib	0.730852965288652	0.815689682414283
ACC	AR.42	0.0114946309359053	0.320177003293084
ACC	AS601245	0.00126281069024533	2.41176602924634
ACC	AS605240	0.816592972165031	1.01226932668329
ACC	AT.7519	0.0172102676387542	1.64831178853946
ACC	Avagacestat	0.0656307182978808	2.73943661971831
ACC	Axitinib	0.833355472108217	0.751358906662525
ACC	AZ628	0.289766652552355	0.656150703586019
ACC	AZD6482	0.112287644466914	0.603459072610705
ACC	AZD7762	0.0631656613625808	0.987394680323806
ACC	AZD8055	0.260721311588264	0.664353958143767
ACC	BAY.61.3606	0.0644689479083445	1.24005801687764
ACC	Belinostat	0.764999442460235	1.69400818394388
ACC	Bexarotene	0.0523277494620175	2.05904791929382
ACC	BI.2536	0.000728694966881077	5.48647787610619
ACC	Bicalutamide	0.302257305855526	1.31351520572451
ACC	BIX02189	0.236009849388685	2.39493159901323
ACC	Bleomycin	0.00191208141454264	3.47227162489895
ACC	Bleomycin..50.uM.	0.00947925929869982	1.05353603225265
ACC	BMS.345541	0.113463241019168	1.33729087965461
ACC	BMS.509744	0.744253324884931	0.999792840570103
ACC	BMS.536924	0.917004544488436	1.74894518927445
ACC	BMS.754807	0.00711917521917335	2.96537602382725
ACC	Bortezomib	0.389730479765166	0.658334595003785
ACC	Bosutinib	0.128268143463334	0.647441509433962
ACC	Bryostatin.1	0.443144036567194	0.442122117847993
ACC	BX.912	0.687640235264659	0.926553350683149
ACC	BX795	0.116048018792574	0.461544517606642
ACC	Cabozantinib	0.259569662397256	1.94284541161979
ACC	CAY10603	0.705344170637107	1.11222089653997
ACC	CCT.018159	0.00675592653722528	2.83191411935953
ACC	CCT007093	0.894978421846756	0.760579168612798
ACC	Cetuximab	0.00103804841076881	0.394989473684211
ACC	CGP.082996	0.140149845269545	0.597640666865138
ACC	CGP.60474	0.938119663352335	1.76008893280632
ACC	CHIR.99021	0.279956806511498	0.702015016855654
ACC	CI.1040	0.532579959252888	0.664353958143767
ACC	Cisplatin	0.0600263159431646	2.72859185132237
ACC	CMK	0.870647255501039	1.49066517607602
ACC	CP466722	0.272108423032909	0.640937170408317
ACC	CP724714	0.120771426377581	2.28803296703297
ACC	Crizotinib	0.625601331009462	0.900250403877221
ACC	CUDC.101	0.234190932351816	1.03346147417683
ACC	CX.5461	0.0322066593745943	1.2496563876652
ACC	Cyclopamine	0.44863773873593	0.611956359288597
ACC	Cytarabine	0.357834251880964	1.97927611168563
ACC	Dabrafenib	0.0118536984612391	1.32192149130669
ACC	Dacinostat	0.00258498538344451	1.92582855973813
ACC	Dactolisib	0.029242846426505	0.42196519524618
ACC	Daporinad	0.0378081118323905	1.653641104887
ACC	Dasatinib	0.186288993413028	0.641478300180832
ACC	DMOG	0.123288818045757	0.472321941412981
ACC	Docetaxel	0.00921922585836836	1.02416208104052
ACC	Doramapimod	0.0781758675184154	3.22916774695359
ACC	Doxorubicin	0.00139660887063124	2.44697690217391
ACC	EHT.1864	0.044723141489899	1.79572879330944
ACC	Elesclomol	0.00889419810192152	2.81513062409289
ACC	Embelin	0.0490261717405272	0.91273095623987
ACC	Entinostat	0.709269366875812	0.742184353214562
ACC	Enzastaurin	0.692338637740081	2.30767703507611
ACC	Epothilone.B	0.000800699295158201	4.07832497788263
ACC	Erlotinib	0.225653850147638	1.14713769984528
ACC	Etoposide	0.000127215705485056	3.1783234764721
ACC	Fedratinib	0.366010751171018	0.64472850678733
ACC	FH535	0.103323025938995	1.34501712020184
ACC	FMK	0.131990422709676	1.15490010334137
ACC	Foretinib	0.590029709601135	0.785002350728726
ACC	FR.180204	0.0109676405096022	2.77084733557369
ACC	FTI.277	0.0106245274610854	1.39196574968118
ACC	Gefitinib	0.173950763039272	1.34501712020184
ACC	Gemcitabine	0.000882522697776361	3.28901832460733
ACC	Genentech.Cpd.10	0.322623068668457	2.51629587155963
ACC	GNF.2	0.00309922047465957	3.50182728749323
ACC	GSK1070916	0.00248204409478044	1.84056281407035
ACC	GSK1904529A	0.11193928507169	1.10392923966661
ACC	GSK269962A	0.0578263888251938	0.435376420454545
ACC	GSK319347A	0.944201075283588	0.771007025761124
ACC	GSK429286A	0.916500999608125	0.773332291829402
ACC	GSK650394	0.00728646620862701	2.21202079272255
ACC	GSK690693	0.123691508728816	2.20643660752921
ACC	GW.2580	0.00470730467933524	2.03390840652447
ACC	GW441756	0.00263569622303564	3.98627764842841
ACC	GW843682X	0.00363165054587481	4.08870348493798
ACC	HG.5.113.01	0.0101728894987965	3.57424035039693
ACC	HG.5.88.01	0.498998325417967	0.652879818594104
ACC	HG6.64.1	0.105843023058431	0.596057134355007
ACC	I.BET.762	0.857435624407408	1.74154527559055
ACC	ICL1100013	0.0849533432871257	2.14688836612489
ACC	Idelalisib	0.197100068615835	0.619959556620731
ACC	Imatinib	0.000231771118364816	4.75797218628719
ACC	IOX2	0.148602293952056	0.609828230022405
ACC	IPA.3	0.105102469495065	1.43752761413844
ACC	Ispinesib.Mesylate	0.000285736294038356	4.4746261682243
ACC	JNK.Inhibitor.VIII	0.000351770194025756	3.21478272115882
ACC	JNK.9L	0.000367265903535988	3.25490757615204
ACC	JQ1	0.494729031589429	0.700896139705882
ACC	JQ12	0.028396765085359	2.69630419331912
ACC	JW.7.24.1	0.533817033302804	0.675349863097049
ACC	JW.7.52.1	0.000415118463744139	4.20277611044418
ACC	KIN001.236	0.383629074891428	1.8823296836983
ACC	KIN001.244	0.71616557329203	1.12193746796515
ACC	KIN001.260	0.563067840514537	1.78347567030784
ACC	KIN001.266	0.0525474282349493	1.2704799008323
ACC	KIN001.270	0.67456100895481	0.813311226906679
ACC	KU.55933	0.73481487498975	1.05084774215209
ACC	Lapatinib	0.00667348722240532	0.378638268156425
ACC	Lenalidomide	0.0157767533731173	1.34811541929666
ACC	Lestaurtinib	0.367624907807592	1.9408372665709
ACC	LFM.A13	0.325617844468448	2.44575503735567
ACC	Linifanib	0.0455645221348063	1.62009587727709
ACC	Linsitinib	0.0475201600884465	2.09616769002753
ACC	Luminespib	0.00531836992483914	2.35566562778272
ACC	Masitinib	0.340312102113308	0.637153822998194
ACC	Methotrexate	0.797354775355585	0.794979572595852
ACC	MG.132	0.0969453785079187	1.79195185037803
ACC	Midostaurin	0.0657425521835665	2.72994518589133
ACC	Mitomycin.C	0.000272932256705841	3.30211175236097
ACC	MK.2206	0.0176516099014069	2.97861940298507
ACC	Motesanib	0.00296834190688434	3.32185526315789
ACC	MPS.1.IN.1	0.0493528378436724	1.21880356830506
ACC	Navitoclax	0.987662812204547	1.07789420314348
ACC	NG.25	0.854334415276676	0.868175264338353
ACC	Nilotinib	0.580759103345537	1.08266497461929
ACC	NPK76.II.72.1	0.648632707371812	1.16482216850829
ACC	NSC.207895	0.000322969343934576	4.51415596617601
ACC	NSC.87877	0.575964518903175	0.575077651235025
ACC	NU7441	0.147735180419201	0.659427532939573
ACC	Nutlin.3a....	0.586486965600772	0.909603238866397
ACC	NVP.BHG712	0.739349090076354	0.675349863097049
ACC	NVP.TAE684	0.0943454127105011	2.10258638965444
ACC	Obatoclax.Mesylate	0.000442822534829575	4.23512209828158
ACC	Olaparib	0.00545511462718773	2.98748131539611
ACC	Omipalisib	0.00840928220478664	1.90003052503053
ACC	OSI.027	0.0449105641659415	1.46271060914645
ACC	OSI.930	0.133130510277161	1.20427052466446
ACC	OSU.03012	0.0111287281051414	1.23564278187566
ACC	PAC.1	0.0509398881038071	3.14229294478528
ACC	Paclitaxel	0.678879197832111	0.990649801587302
ACC	Palbociclib	0.352766005284053	0.871236171236171
ACC	Parthenolide	0.00106040459903762	3.25490757615204
ACC	Pazopanib	0.544768189444624	0.528261821366025
ACC	PD0325901	0.632142929890905	0.705375766871166
ACC	PD173074	0.455356944694461	1.01688581890812
ACC	Pelitinib	0.0514688569408594	0.578731122297898
ACC	Pevonedistat	0.00453778687825251	3.01870773854245
ACC	PF.4708671	0.15912682160276	1.69853715623171
ACC	PF.562271	0.00202265774931627	3.06389099167298
ACC	PFI.1	0.410827406295587	0.656696428571429
ACC	PFI.3	0.0732938701913971	1.59742415569548
ACC	PHA.665752	0.00707706528436308	0.399690794096978
ACC	PHA.793887	0.0455065108939186	1.24300668543279
ACC	Phenformin	0.0173430250461524	3.07605562579014
ACC	PI.103	0.399837178266589	0.693083154998471
ACC	Pictilisib	0.129420162419147	2.60937718684395
ACC	PIK.93	0.359505448662491	1.62360391479562
ACC	Piperlongumine	0.00176638369128708	3.11284660391758
ACC	PLX.4720	0.154960681096729	1.44156992813709
ACC	Ponatinib	0.762797163548653	0.695312022025084
ACC	Pyrimethamine	0.622089096825058	1.12332934541104
ACC	QL.VIII.58	0.00357906135671808	3.17202671461598
ACC	QL.X.138	0.83985112517968	0.526739606126915
ACC	QL.XI.92	0.462080219192067	0.700896139705882
ACC	QL.XII.47	0.0558699524435416	1.55871169125993
ACC	QL.XII.61	0.309247347141395	1.11429911323329
ACC	QS11	0.261134359471477	1.81089692369157
ACC	Quizartinib	0.0696614490458849	1.4881843575419
ACC	Rapamycin	0.000778761778355339	0.282476603824766
ACC	Refametinib	0.673409596697227	0.749060996430234
ACC	RO.3306	0.00559988678158788	2.3829715820094
ACC	rTRAIL	0.0122648306973248	1.03746026434666
ACC	Rucaparib	0.00325250415963087	4.62085451080051
ACC	Ruxolitinib	0.139668428424735	0.610891976692066
ACC	S.Trityl.L.cysteine	0.00164094400447763	3.00528485757121
ACC	Salubrinal	0.0118174794461949	3.42417758759027
ACC	Saracatinib	0.861956359719076	0.694197247706422
ACC	SB216763	0.0252681970077685	3.4292960385439
ACC	SB505124	0.00387183357845112	2.23109782608696
ACC	SB52334	0.416907057963275	1.09224050203528
ACC	SB590885	0.0972594524043806	2.27769247642027
ACC	Seliciclib	0.0996165972841358	1.46679948109711
