Cancer	Gene	Drug	p.twosided	FC	nMut	nMutProp	adjp	color
ACC	CTNNB1	L685458	0.00800024402603481	-0.0649258764649641	12	0.151898734177215	0.00800024402603481	1
ACC	CTNNB1	LBW242	0.00979978176527191	-0.0860669241368027	12	0.151898734177215	0.00979978176527191	1
ACC	CTNNB1	Nilotinib	0.00340013942043522	-0.139833436103716	12	0.151898734177215	0.00340013942043522	1
ACC	CTNNB1	Nutlin3	0.000309004502163007	-0.0838803606341059	12	0.151898734177215	0.000309004502163007	1
ACC	CTNNB1	PLX4720	0.000608949845983388	-0.18736241835878	12	0.151898734177215	0.000608949845983388	1
BLCA	FGFR3	17-AAG	5.24931647782018e-09	0.203989175656852	47	0.116049382716049	1.24408800524338e-06	2
BLCA	FGFR3	Erlotinib	4.41174795603832e-09	0.180553415164672	47	0.116049382716049	1.04558426558108e-06	2
BLCA	FGFR3	Lapatinib	3.54456338149709e-06	0.168389442300983	47	0.116049382716049	0.00084006152141481	2
BLCA	FGFR3	Panobinostat	3.16651911361607e-10	-0.239190966344622	47	0.116049382716049	7.50465029927009e-08	1
BLCA	NFE2L2	Paclitaxel	1.2284973417042e-05	0.532289744867911	18	0.0444444444444444	0.00291153869983895	2
BLCA	RB1	Erlotinib	1.63259259222844e-07	-0.235112254228792	40	0.0987654320987654	1.9346222217907e-05	1
BLCA	TP53	17-AAG	2.16825489571817e-05	-0.096985354512241	167	0.412345679012346	0.00256938205142603	1
BLCA	TP53	Erlotinib	2.66163243117163e-05	-0.091281505855878	167	0.412345679012346	0.00210268962062559	1
BLCA	TP53	Sorafenib	1.85793999783164e-06	0.0536848689348228	167	0.412345679012346	0.000440331779486099	2
CESC	KRAS	AZD6244	0.000132127761064104	0.568793548355204	12	0.0422535211267606	0.00383170507085902	2
COAD	ABCA4	PHA665752	4.64374129916409e-05	0.0717927856721543	14	0.052434456928839	0.00243796418206115	2
COAD	ABCA4	RAF265	1.39580479195438e-05	0.160933953701642	14	0.052434456928839	0.0014655950315521	2
COAD	ACACB	PHA665752	2.44776642235526e-05	0.0700536559409672	14	0.052434456928839	0.00243796418206115	2
COAD	ACACB	TKI258	8.98065734309698e-06	0.320550488817028	14	0.052434456928839	0.00188593804205037	2
COAD	ARID2	PHA665752	9.39981110203407e-05	0.070772783387867	13	0.048689138576779	0.00353027682701431	2
COAD	BMPR2	RAF265	4.77769939218793e-05	0.125219290979198	19	0.0711610486891386	0.00229024371418124	2
COAD	BRAF	RAF265	1.2942329725096e-05	0.0968982138453229	44	0.164794007490637	0.0014655950315521	2
COAD	CELSR3	RAF265	0.000184941988286719	0.134715850284214	12	0.0449438202247191	0.00485472719252637	2
COAD	CTNNB1	PHA665752	0.000100865052200409	0.0529025527250788	21	0.0786516853932584	0.00353027682701431	2
COAD	DCHS2	PHA665752	0.000179683448745499	0.0734530026605054	17	0.0636704119850187	0.00471669052956935	2
COAD	FLNC	RAF265	6.54355346908927e-05	0.105454135651566	22	0.0823970037453183	0.00229024371418124	2
COAD	KIF1B	Topotecan	8.48561679201592e-06	0.447876612555786	13	0.048689138576779	0.00178197952632334	2
COAD	MYH6	RAF265	6.4488026753222e-05	0.151443929947105	13	0.048689138576779	0.00229024371418124	2
COAD	PIEZO1	PHA665752	1.71052967021068e-05	0.0951282259298905	12	0.0449438202247191	0.00243796418206115	2
COAD	PKHD1L1	PHA665752	4.12270212762119e-05	0.0736562310117772	11	0.0411985018726592	0.00243796418206115	2
COAD	PLXNA1	PHA665752	0.000174766995139973	0.0653561600710256	12	0.0449438202247191	0.00471669052956935	2
COAD	PLXNB3	RAF265	0.000147058636900086	0.146112632209602	14	0.052434456928839	0.00441175910700258	2
COAD	TAOK2	PHA665752	0.000211267176874615	0.0738699886254911	11	0.0411985018726592	0.00492956746040768	2
COAD	TP53	Erlotinib	8.82996975875853e-06	-0.0565374999828531	114	0.426966292134831	0.00185429364933929	1
COAD	TRIOBP	RAF265	5.35019902145761e-05	0.140073028636026	12	0.0449438202247191	0.00229024371418124	2
DLBC	IGHV2-70	AZD6244	0.00885095913581671	-0.117128909909757	12	0.324324324324324	0.00885095913581671	1
ESCA	NFE2L2	AEW541	0.00170569073754649	-0.171024450311885	16	0.087431693989071	0.00682276295018596	1
ESCA	NFE2L2	AZD6244	0.00227890424834538	-0.683412130246298	16	0.087431693989071	0.00911561699338152	1
ESCA	NFE2L2	Paclitaxel	4.69129578520844e-06	0.943401598210716	16	0.087431693989071	1.87651831408338e-05	2
