V1	V2	V3					
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.401799555318875	1
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.584133428260489	1
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.611150760428386	1
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.730679091253203	1
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.878522894478695	1
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.628681497070689	1
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.429056355053723	1
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.797798265136744	1
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.237875458459585	1
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.799969924715427	1
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.874026620772893	1
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.79926225611568	1
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.964331067843742	1
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.75151890752147	1
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.361338969213558	2
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.700995052816406	2
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.679145487791436	2
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.686091072628352	2
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.878079456495217	2
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.567808839165335	2
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.431098337291832	2
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.795822643624368	2
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.179098263152844	2
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.783929681505348	2
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.886878679809687	2
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.770231240051263	2
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.944077316488674	2
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.708475572805545	2
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.323216454941453	3
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.774133444725334	3
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.683621685423926	3
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.673453587286899	3
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.861858536576854	3
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.614283883227829	3
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.411407356781539	3
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.821065824499084	3
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.216537006681521	3
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.822647266866529	3
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.757849057439894	3
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.848383277681848	3
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.953958782602664	3
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.78571863412643	3
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.292221240607631	4
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.708503296011122	4
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.609749576088912	4
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.720450828266486	4
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.862091265432379	4
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.668979323376726	4
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.598997007231345	4
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.815977226331291	4
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.291536389174252	4
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.799628378185389	4
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.823228214066272	4
