Drug	Run	Self_MSE	Self_PCC	avg_CV_R2	avg_CV_R3	ind_CV_R3
17-AAG	52	0.922884445358722	0.534511662353142	0.928692835023042	0.0895085225948869	0.462889764872328
AEW541	37	0.797030934609029	0.573372187718186	0.813141172047246	0.160801687165455	0.402502729768283
AZD0530	12	0.671290629284092	0.514787700985328	0.689557762918828	0.0937543088617759	0.340150796554336
AZD6244	28	0.725321460810007	0.708487232923364	0.739488548643755	0.356064052350753	0.366168247685975
Erlotinib	5	0.605493342099122	0.515103144795447	0.61956694659728	0.209506873935954	0.306224652460598
Irinotecan	52	0.930341679983334	0.771609476869913	0.934505683436552	0.406270048037371	0.466209516412084
L-685458	49	0.535394187417044	0.539863633426024	0.540503036423305	0.251116047919493	0.268968241175833
Lapatinib	24	0.653759361906522	0.608371736101918	0.663374432273751	0.241859747864661	0.329265901053201
LBW242	31	0.541828082179878	0.381234265542552	0.55621270259063	0.00561814209210857	0.274463085623687
Nilotinib	31	0.561862028440527	0.561003597437343	0.57564414949167	0.179072107756812	0.284334798146996
Nutlin-3	27	0.59166784277652	0.414491987051574	0.612407502485029	0.0548238256655853	0.300929528472959
Paclitaxel	11	0.957379892701031	0.668234546549539	0.959501290127098	0.280204905268062	0.479219708773544
Panobinostat	47	0.981434045864921	0.751768559771461	0.982141948192644	0.430547398983518	0.490893934711703
PD-0325901	28	0.782012247986477	0.733675442067398	0.795136136621191	0.397330605803284	0.394259794273638
PD-0332991	100	0.614396712295915	0.573039492347765	0.64629972976629	0.22964004447491	0.314972277130099
PF2341066	10	0.69638378416343	0.525947403550862	0.701619760088451	0.173516369267313	0.349495983456679
PHA-665752	20	0.539017609054834	0.400415789293659	0.55880797495663	0.0805794747014224	0.274367206383807
PLX4720	10	0.559060177689323	0.560621116799698	0.56874447148396	0.243114261558468	0.281930372889241
RAF265	29	0.841309813976802	0.51270376838015	0.850748759851268	0.106919258298329	0.423001479950062
Sorafenib	99	0.646590390575599	0.541739420090726	0.64820274822221	0.166023172811517	0.323697782747229
TAE684	4	0.766431047079859	0.607089874238806	0.785031523799494	0.193377285665613	0.387809892465096
TKI258	64	0.775022112113821	0.513209367796442	0.78371111554134	0.16715504223902	0.389671197917327
Topotecan	54	0.897425065409778	0.696657361303813	0.902087600443876	0.321847404556516	0.449875146307824
ZD-6474	39	0.766736892689786	0.470526938413272	0.782213213618092	0.0721996613109523	0.387198868696948
