	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
X2313287_STOMACH..ACH.000948.	0.69032925	0.85028756	0.7354764	0.8229102	0.8505325	0.8401285	0.8669633	0.69951284	0.020932505	0.7346906	0.8606499	0.041789334	0.812629	0.7739062	0.81223136	0.691268	0.7366756	0.7682193	0.015468055	0.8203534	0.67838305	0.83844763	0.8132353	0.7442049	0.8006501	0.67688185	0.76625705	0.021530872	0.017807366	0.80770737	0.8177568	0.7589352	0.019334631	0.8054668	0.7849971	0.8054499	0.7747243	0.81369704	0.6842764	0.8116121	0.8108242	0.84765977	0.82265437	0.8381781	0.76320565	0.710445	0.8490317	0.8329265	0.8408925	0.8077852	0.016821437	0.8369285	0.78696895	0.8303915	0.8100715	0.67195696	0.8534853	0.014767518	0.81708443	0.8399906	0.017948424	0.7827841	0.8153798	0.79031676	0.017570231	0.80660295	0.8001727	0.71689916	0.8038094	0.6686217	0.7718537	0.78414136	0.8447285	0.02170732	0.8082157	0.66929954	0.017387817	0.8288949	0.8120608	0.81051224	0.76290417	0.01638033	0.6890423	0.025612107	0.01852118	0.024490137	0.78455794	0.7734491	0.74506587	0.8174723	0.05756457	0.63918805	0.82197064	0.77705204	0.77361816	0.7754226	0.7467188	0.819343	0.8790896	0.8096995
X253JBV_URINARY_TRACT..ACH.000026.	0.68359745	0.5612369	0.7024194	0.664156	0.77626467	0.5599976	0.63865143	0.6666849	0.6225399	0.729417	0.6353167	0.66630596	0.79811996	0.7342792	0.7442744	0.64095634	0.75017345	0.75741726	0.69689643	0.60904187	0.74064225	0.6313348	0.75423414	0.67817616	0.79203445	0.6799147	0.7411422	0.6781321	0.6371645	0.76421136	0.7666132	0.7266882	0.6315044	0.73602664	0.709082	0.77328587	0.6950425	0.77215225	0.60937893	0.77225786	0.69614404	0.53961504	0.77772546	0.7642457	0.700154	0.70304054	0.5851694	0.7420733	0.6462703	0.70564365	0.65420234	0.7724954	0.77257425	0.6054575	0.72207016	0.73670655	0.62388235	0.6743059	0.6966378	0.57101244	0.6644962	0.7191606	0.715307	0.70228446	0.74775356	0.7304638	0.7405911	0.70039535	0.6882229	0.7760558	0.68030787	0.70206875	0.659011	0.7000284	0.79848963	0.72589475	0.6160732	0.7833304	0.76958543	0.7113289	0.73474526	0.64467275	0.6889146	0.6578706	0.6315402	0.70936364	0.68247634	0.7756364	0.6938481	0.7673372	0.647112	0.7219983	0.747835	0.70509315	0.7122794	0.7222978	0.6918968	0.70528704	0.664932	0.7727159
X253J_URINARY_TRACT..ACH.000011.	0.59253687	0.50706536	0.70984226	0.6082636	0.7734189	0.47890434	0.5334091	0.6696948	0.65596116	0.7290956	0.537446	0.68989563	0.8043011	0.7730346	0.73280025	0.6138885	0.75220644	0.76436096	0.6803285	0.5415232	0.7065451	0.53778094	0.7454852	0.62323207	0.7795071	0.6426889	0.73106676	0.6827271	0.6503399	0.78125685	0.8071222	0.67649305	0.6726256	0.74324226	0.69601905	0.76513654	0.6554417	0.7770745	0.6216804	0.76120406	0.68522245	0.45203745	0.8050887	0.7180709	0.6867594	0.70544755	0.5634652	0.75113165	0.5526541	0.69053113	0.68754524	0.79563504	0.76872873	0.50957984	0.6757727	0.6800342	0.5445615	0.6726212	0.68044174	0.4913836	0.6992834	0.7531675	0.6867384	0.72925633	0.7331624	0.76319706	0.7241887	0.6820319	0.6615328	0.74697	0.6438905	0.7063834	0.57634145	0.71623534	0.78571725	0.6521136	0.64279795	0.78463256	0.7972998	0.7153579	0.7275174	0.67678285	0.68673676	0.63648236	0.6581599	0.7150085	0.6841672	0.7890613	0.67979854	0.79561335	0.6626438	0.6545565	0.7902838	0.6772241	0.68692875	0.69696903	0.6955749	0.7043682	0.54946357	0.7558322
X42MGBA_CENTRAL_NERVOUS_SYSTEM..ACH.000323.	0.77150786	0.0227424	0.7841986	0.42020443	0.74508435	0.01995909	0.3010457	0.6975674	0.79529154	0.7761868	0.0244419	0.7509129	0.77401584	0.75453514	0.7078668	0.7697122	0.79578495	0.78404784	0.832271	0.031471644	0.7631419	0.023110006	0.6709186	0.69939506	0.7572515	0.7580232	0.75814664	0.7469219	0.7917898	0.77900213	0.80108774	0.73140603	0.7409513	0.76480323	0.67913955	0.76787126	0.694921	0.75971603	0.704996	0.78028923	0.71656615	0.021162596	0.77249795	0.72711045	0.6947601	0.80015326	0.033937998	0.73502713	0.2859387	0.6586244	0.776162	0.7873936	0.7695207	0.023115372	0.74371886	0.7763386	0.021868458	0.8056378	0.7206973	0.022575088	0.76797867	0.78159904	0.7008498	0.74701315	0.8349664	0.7763422	0.7447499	0.79349464	0.6863933	0.8173641	0.68988895	0.7577108	0.35658145	0.79827595	0.7883112	0.79402846	0.79317737	0.7780058	0.7966082	0.7545956	0.7634182	0.7450824	0.74763656	0.8198626	0.7974981	0.7946124	0.6759271	0.7451777	0.7420055	0.7620278	0.7372246	0.7483832	0.7703615	0.7472033	0.7614955	0.6879136	0.7758799	0.7763199	0.38454875	0.757485
X5637_URINARY_TRACT..ACH.000905.	0.21140091	0.60661274	0.77042186	0.6116558	0.7806328	0.59995747	0.7447257	0.7790007	0.58977526	0.76291907	0.59518164	0.64474744	0.8108616	0.79111886	0.8243409	0.22110993	0.7961805	0.7969084	0.676856	0.5558656	0.81058353	0.6057487	0.7337031	0.7619521	0.84667134	0.18697305	0.80288774	0.6277957	0.55829954	0.7826999	0.8287698	0.67415553	0.61159444	0.7633991	0.7128741	0.7875528	0.6091025	0.8153655	0.72658473	0.8408092	0.7559425	0.60556453	0.82161194	0.7652312	0.71481985	0.75506294	0.55171806	0.79692173	0.65949875	0.6812605	0.60365266	0.8021322	0.78676033	0.57366157	0.77206755	0.3165897	0.6299492	0.5657254	0.71284765	0.5546044	0.5963702	0.75885487	0.74129325	0.8057189	0.7282834	0.8150719	0.7967399	0.8033884	0.72987664	0.51297355	0.6806399	0.75304186	0.6761113	0.59527105	0.81155056	0.41432303	0.67500377	0.8197901	0.7950956	0.76389736	0.78194994	0.59216547	0.78201896	0.61428034	0.5998249	0.6235791	0.7264331	0.787455	0.7873166	0.8213805	0.64750844	0.32265985	0.7920306	0.7409621	0.7339098	0.71130794	0.8113234	0.81006825	0.7337944	0.8154827
X59M_OVARY..ACH.000520.	0.6945616	0.33500868	0.7495655	0.47646263	0.7837632	0.29094177	0.4400759	0.7159495	0.6864937	0.7229376	0.33664775	0.72735924	0.76963073	0.7722356	0.73683995	0.7251978	0.7572705	0.7984822	0.75532913	0.33774143	0.70619607	0.31280318	0.6606611	0.6478879	0.78679335	0.7119761	0.70387876	0.71362954	0.7084601	0.7806043	0.7997556	0.6689117	0.7427368	0.7539805	0.65922195	0.7446827	0.6439948	0.7460608	0.6243528	0.75880504	0.7308948	0.3316091	0.78753716	0.7627569	0.69013256	0.7405094	0.31557685	0.76304835	0.43589085	0.6444559	0.7515427	0.77827376	0.7576635	0.29888558	0.7262907	0.726758	0.27482155	0.7234052	0.6751747	0.33562368	0.7157607	0.74215704	0.7174792	0.8074488	0.8173569	0.76216924	0.70746833	0.75413	0.6941613	0.77619237	0.6476708	0.7132348	0.42040363	0.7444317	0.76851034	0.7779113	0.7296896	0.7626228	0.79206675	0.7307248	0.70681304	0.72762436	0.7390563	0.71926427	0.721402	0.7034629	0.6519188	0.77806	0.7244936	0.81093556	0.67628586	0.7097222	0.77932143	0.71161497	0.7143067	0.7030012	0.7719608	0.76973355	0.4822025	0.7525119
X639V_URINARY_TRACT..ACH.000973.	0.7225822	0.52392966	0.69193	0.64101547	0.7087329	0.55745727	0.645239	0.69642454	0.72730964	0.7209259	0.5735125	0.7169136	0.77545124	0.72752804	0.6302282	0.7386858	0.71211284	0.77985436	0.7841789	0.5209725	0.6881002	0.575428	0.7144219	0.61605537	0.78408355	0.71898526	0.701334	0.71419746	0.7079364	0.7457153	0.76564103	0.6466665	0.72640735	0.7365098	0.6465453	0.7769375	0.65620375	0.7470573	0.52318454	0.7602251	0.67768395	0.53142613	0.7600689	0.71273506	0.6151716	0.7135981	0.59134716	0.7252991	0.6104659	0.6234147	0.6483201	0.7520314	0.75461227	0.5584218	0.769677	0.74716747	0.579343	0.75191355	0.65592736	0.57540494	0.68512315	0.69772166	0.66862595	0.73293936	0.75902045	0.7544488	0.75289804	0.6902843	0.64467037	0.79324675	0.60884064	0.64826655	0.66822606	0.740872	0.789736	0.79220754	0.699399	0.7795342	0.7612677	0.68105227	0.6801609	0.7204446	0.6837497	0.74120665	0.746213	0.7257969	0.6334505	0.74143416	0.66275024	0.7534644	0.71450365	0.7276163	0.7541352	0.61469024	0.63845056	0.6586267	0.6807524	0.77443266	0.62792504	0.75374997
X647V_URINARY_TRACT..ACH.000896.	0.47584113	0.66935575	0.7128842	0.7167337	0.80379903	0.67589706	0.7441388	0.76544523	0.59264684	0.757373	0.6853828	0.64233714	0.78761697	0.7757646	0.774471	0.4334888	0.7731297	0.7746919	0.6488798	0.6476916	0.7581612	0.61115384	0.77774537	0.75927556	0.8178665	0.47173592	0.7622672	0.5679	0.52668524	0.75675243	0.80673873	0.70520914	0.6189339	0.75406307	0.7669817	0.75173193	0.722318	0.7950565	0.6221505	0.79544115	0.7771047	0.70365316	0.8010407	0.77748996	0.71491396	0.7514098	0.64359725	0.7635941	0.70712656	0.68773454	0.5327819	0.7707033	0.7714509	0.64032245	0.7512089	0.3719983	0.62741625	0.4895203	0.7224631	0.65763855	0.63367575	0.7346044	0.78002566	0.78366184	0.6860901	0.77702314	0.78467983	0.7700398	0.7543104	0.36328807	0.7305184	0.77715254	0.7571833	0.5230187	0.7738204	0.3404821	0.57734317	0.79018575	0.7633507	0.74246085	0.75610006	0.6067385	0.75451654	0.6184561	0.5649374	0.6375648	0.75506353	0.79571235	0.7418102	0.7812415	0.62495106	0.4697474	0.78012854	0.75106573	0.7179834	0.7264311	0.78591615	0.77644444	0.78216106	0.80425173
X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000070.	0.918833	0.8595234	0.31270647	0.89858496	0.012343405	0.87194294	0.893047	0.3642167	0.8763609	0.40500602	0.88610303	0.8584357	0.042612657	0.026638087	0.80299443	0.9167736	0.16134495	0.042928305	0.8665828	0.8728679	0.7151009	0.8780685	0.8648819	0.84088564	0.028607205	0.9159618	0.60346305	0.89230174	0.89628595	0.047384832	0.049895365	0.86726147	0.8918831	0.01775624	0.84135574	0.028427213	0.84613436	0.031980142	0.6962389	0.035391808	0.8516027	0.84972256	0.019261286	0.8494707	0.83313143	0.26491284	0.88735133	0.022523982	0.88186365	0.84741855	0.8995945	0.029550077	0.09777003	0.8692302	0.025105003	0.90386593	0.8661496	0.90926385	0.86067086	0.8581975	0.8730615	0.014045198	0.8286735	0.035305437	0.9011889	0.03525203	0.028819773	0.3835934	0.8342197	0.89890534	0.8477154	0.85157335	0.899394	0.89675784	0.029654946	0.9180608	0.8545118	0.046976008	0.02671352	0.04621199	0.54507804	0.85015255	0.25682276	0.90369105	0.9123561	0.8922325	0.8378884	0.03213805	0.39004678	0.046089973	0.8590554	0.91873103	0.037913065	0.8183602	0.8244174	0.8650658	0.13811722	0.029239204	0.8449315	0.026087767
X769P_KIDNEY..ACH.000411.	0.6538958	0.51871103	0.7661925	0.6009365	0.7561565	0.48915824	0.6061878	0.72617376	0.59600306	0.78425103	0.4880112	0.6731927	0.801721	0.7144003	0.7499225	0.6549877	0.778537	0.75704086	0.76151896	0.5255964	0.7669158	0.5825137	0.7604667	0.74387753	0.7835648	0.65479577	0.75074494	0.6689163	0.6780545	0.7818812	0.77058166	0.75403434	0.700281	0.7122425	0.7298946	0.7260238	0.720367	0.6972943	0.7241858	0.75485325	0.7326531	0.475408	0.7760412	0.80317694	0.7572628	0.7221563	0.55808324	0.7729122	0.60515285	0.7510259	0.6635694	0.7924561	0.77327114	0.55043745	0.6987557	0.654811	0.5688755	0.70059884	0.71535146	0.5320417	0.6069388	0.7231517	0.7695932	0.7335466	0.7459755	0.6900682	0.6730397	0.718646	0.7187979	0.7748238	0.7216581	0.7709911	0.5556456	0.67831206	0.74934185	0.7526256	0.6115118	0.7770878	0.7735568	0.73086435	0.7676891	0.6558821	0.72064143	0.653879	0.64124185	0.6697886	0.716851	0.73996705	0.7431868	0.76485306	0.68025964	0.7149958	0.7682271	0.7537533	0.7484392	0.7244897	0.751259	0.74131906	0.63092333	0.7597115
