	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
X2313287_STOMACH..ACH.000948.	0.6402986	0.0	0.0	0.0	1.2405272	1.5930314	0.8876355	1.1819317	0.40088034	1.6075046	0.0	1.3322533	1.666759	0.43882358	0.0	0.0	0.0	0.0	0.6425092	0.0	0.0	1.1655403	0.0	0.0	0.0	0.19378024	2.1137924	0.0	0.0	0.0	1.3489528	1.9182062	0.0	0.0	1.110681	0.026311874	1.2152061	0.0	1.8956847	1.0147874	1.1740454	0.0	1.0312917	0.0	0.38760173	2.1361494	0.9721979	1.1233519	0.0	0.0	0.0	0.0	1.7541308	0.0	0.0	0.0	0.0	1.4545094	0.0	0.0	0.0	1.0495582	0.37379146	0.0	0.0	1.6886033	0.44628996	1.1995037	0.0	0.0	0.20284331	0.0	1.3783824	0.0	0.0	0.0	0.7378686	2.0044456	0.0	0.0	0.4502272	0.89892054	0.11908591	1.6797106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.544386	1.571375	0.0	1.5914394	1.5147688	0.0	0.7846463	0.0	2.0911152
X253JBV_URINARY_TRACT..ACH.000026.	0.19744158	0.37901044	0.45282403	1.7678156	0.36701864	0.38329726	0.48686057	0.04065208	0.6564269	0.3733294	0.11082818	0.2804588	1.515104	0.36147952	0.3291466	0.0019640923	0.0	0.5886441	1.0779612	0.5690335	1.3087714	0.20032832	0.31689888	0.0	0.0	0.0	0.36777496	0.15627837	0.698119	0.59259015	1.3762877	1.1812317	0.0	0.0	0.76273584	0.0	0.96425396	0.06273875	0.27802563	0.0	1.3629354	0.06783406	1.3516135	0.830456	0.0	1.2928976	0.0	0.70084536	0.0	1.5367115	1.0685563	1.0165341	0.0	0.198555	0.55885065	0.43861353	0.60498613	0.97141445	0.6413752	0.0	0.0	1.6485786	0.28126228	0.0	0.0	0.48043215	0.0	0.0	0.7955001	0.9789297	0.47015595	0.0	0.2682991	1.1709591	0.12788853	1.1027625	0.2283848	1.1069541	0.44011128	0.11889972	0.0	0.0	0.21168101	0.6399494	0.0	0.44706535	0.27565002	0.0	0.0	0.75760514	1.0247068	0.51542723	0.5272138	0.0	0.6290201	0.48100457	0.0	1.2012022	1.0995852	0.020673573
X253J_URINARY_TRACT..ACH.000011.	0.0	0.4650811	0.50689733	1.4313097	0.44161183	0.71781033	0.77444816	0.0	0.63597274	0.19520617	0.33499485	0.2778684	1.4528053	0.070669174	0.06663975	0.11438501	0.0	0.5106824	0.9098456	0.8415382	1.2689006	0.50704086	0.22518483	0.1967777	0.0	0.0	0.15036681	0.37211895	0.56318086	0.84788364	1.3717623	1.3012044	0.0	0.0	0.81524754	0.0	0.7822185	0.3984646	0.29723907	0.0	1.3995699	0.29174763	1.2282987	0.49204302	0.0	0.8578594	0.0	0.8569807	0.0	0.9660466	0.97269535	1.0506291	0.0	0.15826821	0.6370424	0.66770136	0.72950274	0.74622333	1.0209371	0.0	0.13226151	1.6718581	0.4336555	0.0	0.15844876	0.42192268	0.0	0.0	1.0984201	1.1281974	0.5866425	0.0	0.37500548	1.1891097	0.49708545	1.3744704	0.29989588	0.74552715	0.65019315	0.5896707	0.050122857	0.0	0.3917451	0.5230939	0.008807033	0.42355353	0.15758207	0.0	0.0	0.891862	0.812829	0.0	0.60478556	0.0	0.46844485	0.4801208	0.0	0.93738747	1.6551347	0.18559098
X42MGBA_CENTRAL_NERVOUS_SYSTEM..ACH.000323.	0.0	0.13417888	1.4349173	0.55264854	0.0	0.0	0.0	0.0	0.05390489	0.0	0.95305467	0.0	0.0	0.0	1.0060898	0.0	0.0	1.2065854	0.50665164	1.6650863	1.6662765	0.0	0.0	1.7050718	0.0	0.0	0.0	0.0	1.4066037	1.97874	0.0	0.0	0.0	1.8226609	0.0	0.0	0.0	2.1679168	0.0	0.0	0.0	1.3838797	0.0	0.83486676	0.0	0.0	0.0	0.3103119	0.0	0.9231248	0.6892297	1.3935225	0.0	0.80989254	0.4867796	1.7329402	1.980598	0.0	2.2171369	0.0	2.1142642	0.0	0.0	2.0551853	1.4054596	0.0	0.0	0.0	1.2621055	1.2864923	0.991153	0.0	0.0	0.0	0.2457858	0.87215185	0.0	0.0	0.7102713	2.1382692	0.0	0.0	0.03783679	0.0	1.0465825	2.1381109	0.0	0.0	1.3040311	0.0	0.18554711	0.0	0.715163	0.0	0.0	0.0	0.0	0.0	2.262252	0.0
X5637_URINARY_TRACT..ACH.000905.	0.26934457	1.203804	0.0	1.6746268	0.98658484	0.08305043	0.0	1.5292406	0.7319257	0.88413906	0.43375796	1.2594131	1.040587	1.1303978	0.0	0.0	0.0	0.0	1.1617119	0.0	0.6741263	0.0	0.0	0.33995426	0.0	0.0	0.41176927	0.0	0.0	0.87582654	1.3807948	0.5861926	0.0	1.194489	1.5056157	0.0	1.283453	0.0	0.8201175	0.0	0.6292871	0.49346527	1.3757119	0.47034597	0.0	0.57374144	0.0	0.7446972	0.0	0.58429813	1.6781023	1.2372007	0.17589712	1.1100606	0.0	0.0	1.076608	0.5602273	0.5162006	0.0	0.0	0.81566745	0.0	0.0	0.0	0.9922105	1.1146615	0.41148293	0.2438327	1.1119659	1.0964388	0.0	0.8010964	0.0	0.0	0.0	0.0	1.2467906	0.008447707	0.56975603	0.0	0.0	0.0	2.0120206	0.0	0.0	0.46249557	0.0	0.14739835	0.0	0.18367624	1.5175998	1.4124277	0.0	2.4223518	1.1842842	0.0	1.0396376	0.0	0.89143825
X59M_OVARY..ACH.000520.	0.0	1.4605718	1.1130927	0.6615801	0.0	0.0	0.0	0.06162858	0.3877561	0.0	0.95298254	0.0	0.5681637	0.47536194	0.9978212	0.07823694	0.0	0.7402043	0.6380415	0.91520464	1.5671139	0.0	0.0	1.3456619	0.0	0.0	0.0	0.0	1.2789708	2.0527894	0.5423534	0.0	0.0	0.6340666	0.64323354	0.0	0.43225044	1.052696	0.1527906	0.0	0.1285373	1.1526674	0.56167126	0.68661904	0.0	0.0	0.0	0.7554276	0.0	0.8149085	0.71759987	1.3250229	0.0	0.5604917	0.7140904	1.2097226	1.3035109	0.0	1.3219985	0.0	1.0292695	1.2818208	0.0026396513	1.0580235	0.8098997	0.048968077	0.0	0.0	1.2288289	1.2734029	0.969365	0.0	0.0	0.0	0.5836456	0.7102504	0.0	0.12379551	1.2171023	1.5763471	0.0	0.0	0.29847026	0.2940119	0.16202092	1.0633795	0.13641539	0.0	0.8036945	0.19880754	0.68805695	1.4675727	0.69596267	0.0	0.39575467	0.2926377	0.0	0.5262699	1.6029234	0.0
X639V_URINARY_TRACT..ACH.000973.	0.010385156	0.45449293	1.2442704	0.31717825	0.06341815	0.15406877	0.32378182	0.0	0.0	0.0	0.26494244	0.0	0.3205973	1.3908702	0.8658695	0.94112587	0.0	1.4874637	0.32737827	0.79515177	1.0489271	0.5465315	0.45254576	0.059432387	0.44121808	0.0	0.80704635	0.24131703	1.1489828	1.4066563	0.0	0.36860824	0.5494975	1.1902847	0.4794649	0.19743812	0.0	1.2416189	0.0	0.0	0.09333706	0.538237	0.8464372	1.3088725	0.34201664	0.70934975	0.0	0.27986038	0.10048425	1.2951326	0.4861343	0.80591863	0.0	0.0	0.48215604	0.7042743	0.46678156	0.0	1.2350163	1.327677	0.70912135	0.11871663	0.3700937	0.37494326	0.0	0.0	0.9807604	0.0	0.88887	0.58377594	0.0	0.0	0.0	1.1891016	0.77014065	0.7996266	0.0	0.44197047	1.048307	0.46735573	0.0	0.090979576	0.7049185	0.0	0.8375205	0.88265765	1.2048132	0.667225	1.1288815	0.75132746	1.6478968	0.7856982	0.0	0.2638451	0.11950895	0.0	0.64715457	0.18741775	0.48734868	0.39397568
X647V_URINARY_TRACT..ACH.000896.	0.33295596	0.98414826	0.0	0.77773905	1.4273145	0.26281375	0.05111164	1.6886673	0.6478956	0.9517696	0.0	1.5972203	1.0510857	1.8611549	0.0	0.0	0.0	0.0	1.2646565	0.0	0.3249671	0.0	0.0	0.0	0.0	0.0	0.6408167	0.0	0.0	0.63971764	1.1734273	0.7607256	0.0	1.2019935	1.3263493	0.0	1.1003113	0.0	0.4895686	0.008997887	0.61581624	0.42768002	1.1493368	0.0	0.0	0.6481266	0.0	0.66158545	0.0	0.23355436	1.207376	0.8043327	0.7017455	0.7707933	0.0	0.0	0.48029667	0.5396997	0.1742692	0.71934986	0.0	0.64456934	0.0	0.0	0.0	0.9493638	1.566417	0.268516	0.0	0.38786966	0.8198838	0.0	1.2252774	0.0	0.0	0.36172482	0.0	1.0138061	0.0	0.43816304	0.0	0.0	0.5106828	1.7383485	0.0	0.0	0.51136464	0.0	0.0	0.0	0.0	1.1296725	0.35451365	0.0	2.1502805	1.3712323	0.0	1.6248133	0.19283557	1.3091712
X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000070.	1.568588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9182014	0.90272665	1.840935	0.0	0.0	0.0	0.0	0.0	1.6301445	0.0	1.804774	1.4748981	0.0	0.0	0.0	0.0	0.0	0.0	1.9547869	0.0	0.0	1.8135471	0.0	0.05341652	0.0	1.0215358	0.0	0.0	0.0	0.0	1.7466074	0.0	1.2021662	0.0	2.3290513	0.0	0.0	0.0	0.8885721	0.0	0.6870209	0.0	0.0	0.0	0.0	1.15758	0.7799312	0.0	1.2140069	1.027792	0.8105918	0.0	0.0	0.96349317	0.0	0.0	0.0	2.0773714	0.0	0.2842642	0.0	0.0	1.2513229	0.0	0.0	0.0	1.8436468	0.0	0.15498197	0.0	0.95918703	0.0	0.8234841	1.678189	0.3655219	0.0	0.17200327	0.0	0.0	1.6263393	0.0	0.0	0.86769915	0.0	0.0	0.0
X769P_KIDNEY..ACH.000411.	0.6076019	0.86386776	0.7354475	1.4256496	0.2187882	0.0	0.092386484	0.29752412	0.72048783	0.7916757	0.6352807	0.5003375	1.252141	0.07761651	0.41862068	0.0	0.0	0.18343824	1.1040075	0.510682	1.3267415	0.34806335	0.0	0.5305271	0.0	0.0	0.0	0.0	1.1631579	1.116627	1.3336775	0.8686656	0.0	0.0	0.9273596	0.0	1.2184746	0.14846145	0.5807264	0.0	1.1861941	0.4500553	1.1481025	0.03984499	0.0	1.2061418	0.1158576	0.84621906	0.0	1.3814967	0.9356768	0.76977533	0.0	0.5426277	0.45675683	0.6950333	0.73943764	0.74127734	0.69512105	0.0	0.0	1.5930531	0.44528764	0.0	0.41182226	0.10434723	0.0	0.0	1.2602546	1.1471415	0.9023762	0.0	0.5785545	0.87076604	0.279895	0.8423363	0.0	0.9410713	0.42852497	0.49433118	0.0	0.0	0.24090934	0.73030776	0.0	0.62507737	0.0	0.0	0.0	0.12071729	0.07985091	0.5082333	1.2870092	0.0	0.8220793	0.73179996	0.0	0.9561665	1.4022535	0.0
X786O_KIDNEY..ACH.000649.	0.46596313	1.1694086	0.91116023	1.259542	0.0	0.0	0.0	0.51518095	0.5859525	0.12690544	0.28209314	0.38429725	1.0963509	0.0	0.92553174	0.0	0.0	0.25405717	1.252912	0.64592016	1.6987398	0.0	0.0	0.9207809	0.0	0.0	0.0	0.0	1.0658662	1.5426314	1.0084708	0.41177583	0.0	0.3058238	0.80611444	0.0	0.67080194	0.49265325	0.23387611	0.0	0.75888336	0.5689533	0.6363609	0.45725012	0.0	1.0276872	0.0	0.6193067	0.0	1.2424395	1.1946552	0.86630374	0.0	0.6802689	0.5234935	0.5983212	1.0503387	0.5894977	0.7282741	0.0	0.25369284	1.2827129	0.0	0.30000743	0.648126	0.0	0.0	0.0	0.8604195	1.5446239	0.94793737	0.0	0.076233625	0.33436477	0.20954284	0.094937444	0.0	0.65526307	0.82708687	0.5477988	0.0	0.0	0.33869505	0.7435134	0.33802888	0.77587914	0.0	0.0	0.13867581	0.0	0.0	1.0868232	1.2008835	0.0	1.1964589	0.74350023	0.0	1.3251047	1.2596979	0.0
X8MGBA_CENTRAL_NERVOUS_SYSTEM..ACH.000137.	0.0	0.82600236	0.97704625	1.4918389	0.0	0.008372009	0.0	0.0	1.4708323	0.0	0.6688441	0.0	0.56036	0.0	0.32566634	0.09859049	0.0	0.9240106	0.18441367	0.98040473	1.191484	0.0	0.20487216	0.6610685	0.845277	0.0	0.0	0.7318387	1.2931465	1.6542008	0.43818057	0.0	0.0	0.9742944	0.0	0.0	0.14842087	0.6928765	0.0	0.08947252	0.28161383	0.38928553	0.65701437	0.9037659	0.0	0.0	0.0	0.08375144	0.0	0.70745754	0.82073784	0.85562867	0.0	0.68702996	0.7690306	0.7913817	1.4244835	0.30350316	1.1518098	0.0	1.2377785	0.7846722	0.03528464	1.3729206	0.7364868	0.33898795	0.0	0.0	0.36768043	1.0564492	0.65560424	0.0	0.0	0.46334922	0.97411084	0.34388182	0.0	0.0	0.66703767	1.0421816	0.0	0.7211144	0.50772476	0.19153517	0.73220396	1.0703351	0.0	0.0	1.0477536	0.070925474	0.884758	0.0	0.8233874	0.0	0.0	0.0	0.028821766	0.7221501	0.88256776	0.0
A101D_SKIN..ACH.000008.	0.0	1.3705199	1.4010093	0.0	0.0	0.0	0.0	0.0	1.3973207	0.0	0.58329284	0.0	1.24399	0.0	0.8358339	0.0	0.0	0.48713607	0.9313288	0.9430516	1.3548589	0.0	0.5742569	0.85029024	0.45548576	0.0	0.0	0.47539568	1.0975384	0.88184744	0.0	0.0	0.12146549	0.70269156	0.0	0.0	0.0	1.3250282	0.0	0.0	0.004879117	0.765409	0.100443125	1.0613959	0.0	0.7305218	0.0	0.0	0.0	1.9287474	0.88160896	1.3430159	0.0	1.2550668	1.0004272	1.3242161	0.31966335	1.0496877	0.93173015	0.0	1.2155626	1.8078477	0.0	0.9410079	1.2054307	0.8665992	0.0	0.0	1.2330236	0.79673356	0.18125308	0.0	0.0	0.5745996	0.0	0.37869516	0.89642024	0.0	0.8402944	0.9835389	0.0	0.0	0.0	0.0	1.150842	1.2305053	0.0	0.0	0.6365552	0.42792267	0.0	0.45938158	1.0306401	0.0	0.0	0.0	0.0	0.03785062	1.3481479	0.0
A1207_CENTRAL_NERVOUS_SYSTEM..ACH.000283.	0.0	1.1138918	1.5797867	0.96576405	0.0	0.0	0.0	0.35997435	0.08416724	0.0	0.72823834	0.0	0.3759405	0.0	1.0367492	0.0	0.0	0.7640217	0.8714349	1.3949789	1.981072	0.0	0.0	1.2499213	0.0	0.0	0.0	0.0	1.7257719	1.7043571	0.41847157	0.0	0.0	1.3270035	0.31351578	0.0	0.0	1.410459	0.0	0.0	0.0	0.69443065	0.0	0.96134925	0.0	0.26686275	0.0	0.0	0.0	1.2999463	1.2604244	1.3267684	0.0	0.99967587	0.73826456	1.0635102	1.3893433	0.19488299	1.17782	0.0	1.1198401	0.75216204	0.0	1.2060885	0.94096124	0.0	0.0	0.0	0.8416067	1.7101641	1.0137485	0.0	0.0	0.13753605	0.0	0.19276565	0.0	0.16626096	1.3752131	1.1007063	0.0	0.0	0.0	0.29225177	0.88692975	1.5471997	0.0	0.0	0.81870675	0.0	0.0	0.7942761	0.30268478	0.0	0.8865818	0.0	0.0	0.84331965	1.0980066	0.0
A172_CENTRAL_NERVOUS_SYSTEM..ACH.000558.	0.0	1.0869648	1.513656	0.71285915	0.0	0.0	0.0	0.5449239	0.27196014	0.0	1.309792	0.0	0.34268516	0.0	0.59353065	0.2339462	0.0	1.173728	0.7778332	1.6051959	1.4494028	0.0	0.0	1.0527744	0.0	0.0	0.0	0.0	1.3136767	1.709708	0.37882257	0.0	0.0	1.1657653	0.5054902	0.0	0.0	1.6302044	0.0	0.0	0.06453836	1.0613331	0.0	1.0406353	0.0	0.0	0.0	0.027040243	0.0	1.1233006	1.191257	1.4863012	0.0	0.93893564	1.0077963	1.1290016	1.3822315	0.0	1.5011708	0.0	1.33779	0.0	0.0	1.0171225	0.5607713	0.044341445	0.0	0.0	1.1509914	1.7464194	1.0852816	0.0	0.0	0.9653498	0.7435353	1.3046486	0.0	0.0	1.2364495	1.2477489	0.0	0.0	0.11164677	0.0	0.6639881	1.7257392	0.0	0.0	1.2896752	0.0	1.2393179	0.0	0.10775989	0.0	0.037379146	0.0	0.0	0.15497279	1.6854244	0.0
A204_SOFT_TISSUE..ACH.000201.	0.0	0.18530464	1.3898526	0.0	0.0	0.0	0.32473016	0.0	0.0	0.0	0.69559073	0.0	0.5755239	0.2992652	0.3683481	0.878638	0.0	1.5131195	0.03543973	1.266068	1.1317914	0.43799087	0.9034021	0.16486907	0.51427954	0.0	0.93073034	0.11404967	1.2432921	0.77918667	0.16696608	0.0	0.45880717	0.5247183	0.0	0.016343594	0.0	1.6291027	0.0	0.23241575	0.2498591	1.324516	0.13973737	0.7391803	0.2772432	0.0	0.0	0.4316846	0.0	0.45197034	0.0	0.78205615	0.0	0.0	0.75616515	1.5975283	0.5420132	0.0	1.693971	0.6666254	1.4326	0.0045396984	0.037169814	0.6697655	0.3545838	0.0013290644	0.44983858	0.0	1.0742657	0.83936566	0.0	0.0	0.0	1.1786035	0.39592957	1.7238873	0.0	0.0	1.2050259	1.1129735	0.0	0.0	0.4777012	0.0	1.0482683	1.2996292	0.8723215	0.3655531	0.9161978	0.6928374	0.7047653	0.4469638	0.0	0.0	0.0	0.0	0.2867265	0.0	1.020646	0.18359047
A2058_SKIN..ACH.000788.	0.0	1.2624354	1.2433966	0.0	0.0	0.0	0.0	0.0	0.7010641	0.0	0.54042625	0.0	1.3023067	0.0	0.96202385	0.19775844	0.0	0.84640914	0.9614446	1.1199083	1.2235699	0.0	0.85484374	0.7660053	0.6374703	0.0	0.0	0.7187321	1.8463984	1.1534994	0.0	0.0	0.682651	0.6557274	0.0	0.0	0.0	1.3114923	0.0	0.0	0.0	0.24295688	0.30507636	1.4052675	0.15686691	0.65760136	0.0	0.0	0.0	2.0598638	1.0099561	1.3935316	0.0	0.6026646	0.8272458	1.827534	0.23940152	0.8518454	1.300684	0.0	0.9343299	1.1285002	0.15833402	0.74735713	1.0117252	0.8322395	0.0	0.0	1.4301101	1.0631413	0.15433079	0.0	0.0	1.435543	0.0	0.23065051	0.7490835	0.0	1.1908216	0.74661183	0.0	0.0	0.0	0.0	1.3202952	1.1321568	0.0	0.32628334	1.1348145	0.9719282	0.39567232	1.7751665	0.4480911	0.0	0.034742326	0.0	0.41621825	0.0	1.1306275	0.0
A2780_OVARY..ACH.000657.	0.0	0.0	1.1769881	0.0	0.0	0.030336738	1.1671162	0.0	0.0	0.0	0.74421227	0.0	0.0	0.7181889	0.036293402	2.4998376	0.37858	1.8996141	0.0	1.0153779	0.63845056	1.1793349	1.4774106	0.0677309	1.3329206	0.4709493	0.96056354	0.6316078	0.5086001	0.98066837	0.0	0.060108304	0.9967308	0.0	0.0	0.52343416	0.0	1.4542527	0.0	0.061344072	0.0	0.634583	0.12309146	0.85186267	1.1744502	0.0	0.09449148	0.0	0.315238	0.0	0.0	0.0031887293	0.0	0.0	0.77272046	1.5325545	0.0	0.0	1.2868314	1.4124705	1.0810785	0.0	0.4953372	0.2781365	0.0	0.0	0.8405104	0.0	0.88902056	0.06718892	0.0	0.3492403	0.0	1.7179416	1.0114517	1.2185179	0.0	0.0	1.0787239	0.7598369	0.2517689	0.22354269	1.0466706	0.0	1.3747305	0.8083245	1.1064723	1.0938551	1.2357161	1.4681299	1.0474286	0.34415054	0.0	0.6487572	0.0	0.0	0.8886808	0.0	0.7728347	0.50614935
A375_SKIN..ACH.000219.	0.0	1.0741878	1.3901057	0.35817814	0.0	0.0	0.0	0.0	0.77425146	0.0	0.30735144	0.0	0.95044976	0.0	0.8378477	0.3292135	0.0	0.8445645	0.49379802	1.0325415	1.0660889	0.0	0.78078365	0.592904	0.73205656	0.18904471	0.0	0.64166903	1.4149076	0.6628799	0.0	0.0	0.5742978	1.1572528	0.0	0.0	0.0	1.4635718	0.0	0.0	0.023743272	0.3085244	0.29175615	1.2045715	0.29901356	0.6002948	0.0	0.0	0.0	1.6475813	0.89147043	1.2354183	0.0	0.5866543	0.58175075	1.4925786	0.40577155	0.5677813	1.0327643	0.0	1.0141741	1.1364512	0.0	0.7141216	0.70046115	0.48853636	0.0	0.0	1.3719152	0.6873806	0.0	0.0	0.0	0.9047793	0.0	0.37154976	0.35863686	0.0	0.7521271	0.5607822	0.0	0.07967353	0.0	0.0	1.2081269	1.2013202	0.0	0.29324403	0.83836365	0.55819124	0.2622156	0.52732253	0.8371035	0.0	0.03448829	0.0	0.11076239	0.16318154	0.94956386	0.0
