Drug	Self_MSE	Self_PCC	avg_CV_R2	avg_CV_R3	ind_CV_R3
17-AAG	0.651112564489468	0.657033537107582	0.937352484635885	0.16464100735969	0.16464100735969
AEW541	0.246902226170596	0.59531034381811	0.816818243808371	0.114170202530063	0.114170202530063
AZD0530	0.458581660937592	0.532436973269857	0.692756965571446	0.0848702547608861	0.0848702547608861
AZD6244	0.806845752811989	0.664258662532734	0.742439144943685	0.311994184416625	0.311994184416625
Erlotinib	0.274869522617395	0.60784250623565	0.621521711195629	0.179893654146234	0.179893654146234
Irinotecan	0.52875644261735	0.789158969924576	0.943225456844502	0.414201024486883	0.414201024486883
L-685458	0.216448420626397	0.575003818775294	0.568712825371099	0.209002147551426	0.209002147551426
Lapatinib	0.31386691366803	0.571709966466606	0.65284338017009	0.128558033101689	0.128558033101689
LBW242	0.412310181054948	0.460066226286123	0.57895379788062	0.0127313834321673	0.0127313834321673
Nilotinib	0.435697748219691	0.629632048815623	0.548378773111419	0.103806898462077	0.103806898462077
Nutlin-3	0.182783539900825	0.426251873661833	0.629024288761665	0.0151792149362606	0.0151792149362606
Paclitaxel	0.811416625732994	0.741239321661022	0.965715069730187	0.336135586178004	0.336135586178004
Panobinostat	0.280089703164129	0.767710007065475	0.983189103210282	0.423427234305522	0.423427234305522
PD-0325901	1.01421713584408	0.740311088071893	0.804738111296642	0.379708618671595	0.379708618671595
PD-0332991	0.269185064722445	0.581512556952219	0.6596136649853	0.156032227656331	0.156032227656331
PF2341066	0.24697023694536	0.603026775524154	0.71138228619359	0.122043689265435	0.122043689265435
PHA-665752	0.230223973458618	0.491436301923137	0.586418271787873	0.0862380302110863	0.0862380302110863
PLX4720	0.244235664474141	0.598441798441316	0.584229473453796	0.23936394754369	0.23936394754369
RAF265	0.364280061595257	0.609028190113617	0.859662573104411	0.100426057096257	0.100426057096257
Sorafenib	0.19983295769561	0.565573140640416	0.654648571645635	0.145640852705152	0.145640852705152
TAE684	0.434815844185532	0.653940322508298	0.783937777933598	0.143906020967397	0.143906020967397
TKI258	0.232295006297751	0.610320572461988	0.784686045784446	0.150071520265453	0.150071520265453
Topotecan	0.775695472369635	0.725461010828504	0.908843893535482	0.316901513420344	0.316901513420344
ZD-6474	0.370610635215753	0.560414874902761	0.783610621132948	0.0648178059143292	0.0648178059143292
