	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
X2313287_STOMACH..ACH.000948.	0.27151352	0.8646863	0.21019721	0.75523746	0.047224473	0.069184564	0.7782202	0.8262117	0.20510882	0.8555056	0.6991295	0.22099163	0.08680567	0.7715422	0.50496364	0.10889868	0.8167344	0.82097924	0.76417017	0.07571412	0.43514082	0.8577563	0.7526353	0.10308344	0.84266484	0.74471205	0.08561186	0.06611789	0.75448656	0.19008745	0.8412984	0.65575546	0.06510522	0.213689	0.77787226	0.8681719	0.867082	0.7951622	0.7978477	0.84154654	0.07198127	0.8619952	0.8404763	0.898249	0.28542563	0.8610746	0.76485085	0.07224567	0.77255285	0.81643915	0.11053762	0.75307727	0.088154525	0.1290238	0.87540054	0.73947227	0.7990169	0.08164262	0.68930256	0.11773123	0.76075643	0.08935487	0.8706294	0.8846324	0.8598467	0.82854605	0.84911317	0.110906065	0.85605997	0.12489771	0.22382389	0.04690324	0.83432126	0.70716435	0.78934675	0.096836455	0.11159707	0.81350714	0.6290212	0.8629308	0.8808793	0.37514645	0.052775238	0.76702815	0.74461156	0.7919845	0.7995912	0.11736789	0.8827832	0.8483889	0.09367962	0.7630284	0.84731257	0.8505312	0.78383714	0.26541355	0.082955904	0.8833304	0.7718336	0.8362004
X253JBV_URINARY_TRACT..ACH.000026.	0.7979824	0.7500478	0.7113441	0.51113737	0.4293464	0.09107012	0.80555487	0.42539632	0.7455006	0.8049739	0.37656888	0.6186398	0.15862021	0.12419351	0.76277095	0.73453754	0.51832753	0.68157583	0.7549686	0.76542723	0.70588183	0.17220159	0.72418505	0.36821604	0.7338329	0.3128949	0.36373046	0.32465142	0.41056305	0.77285695	0.67091066	0.16313833	0.47605354	0.88129663	0.6729617	0.65593344	0.7196808	0.20476198	0.21420892	0.23426655	0.31156296	0.92762864	0.39421913	0.7839535	0.80498046	0.7007376	0.21476848	0.5315978	0.39499822	0.44249976	0.11342726	0.7578648	0.31437212	0.75316286	0.48874757	0.820791	0.5653716	0.19565752	0.5421473	0.8320051	0.5342486	0.26963022	0.7988629	0.7299639	0.33704454	0.5359195	0.3443742	0.84208226	0.6881973	0.32332706	0.7524838	0.2748662	0.66156596	0.37154937	0.6446369	0.50192475	0.27768046	0.29122934	0.8682879	0.6554514	0.21384148	0.64073247	0.1373651	0.48608556	0.45780358	0.44150996	0.7038561	0.19748822	0.268456	0.6007613	0.34268555	0.70477176	0.8444781	0.75437206	0.46168104	0.75920075	0.32196298	0.42069376	0.28139433	0.22583851
X253J_URINARY_TRACT..ACH.000011.	0.8088961	0.7529666	0.80036545	0.507972	0.3811867	0.11021257	0.73532367	0.3001491	0.7680203	0.76384735	0.35709175	0.7254206	0.1582625	0.14418156	0.78945124	0.81486017	0.45209166	0.64203566	0.7943124	0.71032465	0.8248315	0.15460394	0.8039837	0.36143377	0.7961993	0.32448107	0.3494433	0.28430435	0.3506409	0.76999146	0.7180569	0.15374537	0.46078452	0.885391	0.6610207	0.7599441	0.8270161	0.22702676	0.2514586	0.24449654	0.3149676	0.9031311	0.3574635	0.81651294	0.8283244	0.7336519	0.24455151	0.52909034	0.4272551	0.43562555	0.12859459	0.76935965	0.338879	0.67752004	0.3800708	0.77813005	0.5838417	0.1864816	0.5965704	0.8530776	0.56430256	0.30797505	0.8005024	0.73169243	0.32910305	0.7012521	0.28208977	0.8577693	0.7184079	0.30985373	0.79150105	0.31560186	0.6923871	0.3385839	0.6530739	0.49640957	0.26959202	0.2914231	0.8878846	0.65029156	0.21665984	0.76158226	0.14752139	0.5823291	0.42609224	0.46524957	0.7351371	0.22106886	0.2373873	0.5573006	0.30267608	0.7233182	0.7986623	0.786199	0.4427696	0.7926988	0.33818328	0.40793532	0.21607465	0.23057444
X42MGBA_CENTRAL_NERVOUS_SYSTEM..ACH.000323.	0.85239923	0.25190505	0.81469136	0.119050205	0.8742648	0.8508997	0.18324827	0.112319276	0.79408735	0.08865237	0.16033676	0.65549994	0.88462514	0.12935847	0.6846644	0.8771832	0.12993899	0.07647934	0.7959604	0.8964523	0.756757	0.10916538	0.79259056	0.8794159	0.66933656	0.1718744	0.9285002	0.8896779	0.14340457	0.80338347	0.65751696	0.19586086	0.82054335	0.8650304	0.6533242	0.5408483	0.70628524	0.101811156	0.10804864	0.14343654	0.8949848	0.4454233	0.09284477	0.73067915	0.82103467	0.83336276	0.07846057	0.86068434	0.110352896	0.09550929	0.908801	0.80696976	0.862251	0.81090987	0.14339842	0.16089454	0.1385188	0.88484	0.71061456	0.8428219	0.0944385	0.92390376	0.7705749	0.7085542	0.11118906	0.74685484	0.0902563	0.8291452	0.71701777	0.7795236	0.8096407	0.87311274	0.6864104	0.11299399	0.18290125	0.92594635	0.9045633	0.060277704	0.87433183	0.7616424	0.08664654	0.7697143	0.8628508	0.66701406	0.20282806	0.13234456	0.7138867	0.89578325	0.106858745	0.066751994	0.80401796	0.6526265	0.111878045	0.73529017	0.1434483	0.792602	0.8554497	0.09652159	0.13397215	0.1238427
X5637_URINARY_TRACT..ACH.000905.	0.5433502	0.84918135	0.73626405	0.22249906	0.30193487	0.12223211	0.7908631	0.57578665	0.81749284	0.6822509	0.14058661	0.63781244	0.34952325	0.60514426	0.22765453	0.6622844	0.8127282	0.70026934	0.7826349	0.390861	0.5138189	0.5990766	0.70213515	0.8119082	0.71348256	0.09707119	0.5122367	0.36344394	0.117292665	0.8714141	0.7775773	0.75481915	0.45481816	0.85702175	0.7641538	0.6054258	0.6035447	0.6133598	0.13186015	0.8066562	0.58214784	0.6603223	0.22726099	0.7190448	0.51300937	0.82394564	0.14704342	0.30310917	0.10453475	0.3223811	0.62919307	0.82417315	0.81075627	0.850626	0.87010217	0.17089273	0.09274393	0.32314348	0.62119365	0.8303492	0.08136387	0.3995887	0.85760844	0.82584906	0.23736712	0.55250704	0.8085731	0.74544966	0.82672757	0.85360944	0.75719696	0.48344055	0.79206425	0.23270096	0.16910715	0.40600008	0.3636535	0.5263193	0.8950306	0.80676425	0.44086453	0.57570946	0.46229982	0.7055011	0.10797103	0.15741467	0.72125113	0.26867995	0.68941957	0.6930906	0.85326	0.6764607	0.80069655	0.807916	0.25210038	0.8446548	0.46295726	0.22978914	0.2188251	0.7848622
X59M_OVARY..ACH.000520.	0.75825256	0.5692823	0.83015513	0.15735827	0.63209164	0.3152308	0.5108326	0.16329335	0.8541784	0.27863282	0.17851101	0.71302295	0.522696	0.15416628	0.6291332	0.82346135	0.40282762	0.21264364	0.7891989	0.76175046	0.7107108	0.15233096	0.7844027	0.7416262	0.7380489	0.11581923	0.7383878	0.6022513	0.12321033	0.8311637	0.752912	0.25561512	0.67150295	0.8739884	0.66521037	0.65574956	0.7563812	0.15510337	0.11641146	0.2095013	0.7289693	0.73927635	0.1269498	0.7603264	0.75076884	0.81720763	0.0890301	0.62235004	0.15895727	0.16164319	0.69835883	0.8206705	0.754704	0.8207513	0.3698639	0.2314943	0.13608932	0.58348066	0.6805521	0.8556647	0.116525486	0.7062132	0.8270286	0.7352538	0.1196709	0.68287486	0.2304081	0.84094214	0.7453387	0.76658773	0.8094078	0.6728774	0.70881975	0.16001685	0.23993963	0.73191977	0.6224401	0.10834663	0.8944765	0.75555307	0.119349614	0.73902243	0.6535395	0.6133398	0.11912615	0.1425471	0.74928445	0.4427191	0.20785688	0.18451267	0.7101502	0.68029374	0.48205128	0.8322215	0.18661702	0.81905925	0.65099484	0.15484276	0.10435767	0.21823278
X639V_URINARY_TRACT..ACH.000973.	0.81088084	0.4880856	0.63486177	0.5129466	0.7105069	0.51255894	0.6265683	0.44550142	0.4120951	0.23942754	0.57832754	0.5076053	0.5337404	0.16803235	0.67183197	0.7890446	0.29269934	0.1774512	0.6400962	0.80584216	0.70407563	0.26289502	0.69452435	0.3532546	0.50236624	0.41417357	0.7525096	0.6692822	0.52429175	0.6951728	0.368652	0.27923137	0.5602726	0.78404254	0.59035593	0.33731508	0.57013464	0.23598756	0.37807095	0.2870117	0.616977	0.86813504	0.4544606	0.5901181	0.7747352	0.48760346	0.38420084	0.6475245	0.45109075	0.5604617	0.40173408	0.5534519	0.33707374	0.52153003	0.31328776	0.65297204	0.45272917	0.5618989	0.60436755	0.7606604	0.42447013	0.61071783	0.44124192	0.4260489	0.28913766	0.410808	0.2477101	0.8163653	0.42761293	0.35067803	0.6554808	0.5340703	0.3894189	0.52782786	0.60543096	0.73614866	0.71378547	0.2051954	0.5890967	0.24125867	0.23832302	0.50922036	0.7083045	0.4513932	0.47770375	0.44008574	0.5135133	0.59702265	0.21146336	0.22041906	0.33615732	0.44486597	0.2779632	0.5575689	0.54101324	0.6702034	0.49636957	0.46688673	0.3991772	0.29940107
X647V_URINARY_TRACT..ACH.000896.	0.6435127	0.83181846	0.7439718	0.48881826	0.150016	0.1443766	0.7493925	0.6671514	0.81104684	0.7291596	0.20056991	0.73239183	0.14571278	0.7027099	0.34691286	0.6168083	0.81492126	0.76169	0.8022996	0.21848899	0.7402175	0.69263446	0.7745718	0.55952924	0.75528044	0.15132426	0.26973003	0.24099262	0.14037262	0.82468903	0.7046595	0.7897946	0.2506174	0.8092327	0.7548824	0.6117657	0.78757215	0.7519908	0.2993037	0.8279632	0.29573905	0.7832547	0.36548695	0.79934746	0.5981473	0.77255434	0.36477652	0.14816485	0.21901895	0.6145931	0.4013215	0.80133814	0.6379631	0.7566592	0.8368414	0.17914419	0.144874	0.17327724	0.6193336	0.76148164	0.15222232	0.20659423	0.808693	0.77330166	0.323309	0.5970888	0.81822413	0.6131364	0.79173064	0.7997892	0.79555976	0.2499503	0.7512767	0.40060416	0.37268332	0.23018773	0.2591195	0.6832766	0.8726077	0.5788801	0.54601735	0.6707714	0.33516866	0.7040518	0.11707219	0.21350947	0.7457845	0.18078063	0.7411805	0.69991493	0.6603068	0.6517392	0.7734049	0.80389494	0.3239401	0.8084631	0.17967488	0.4446044	0.21764399	0.8457017
X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000070.	0.17604421	0.107755415	0.09191892	0.83913386	0.8841902	0.83435833	0.085605964	0.82197696	0.09140232	0.6530076	0.8576169	0.06828828	0.8725675	0.81671375	0.106484674	0.23067005	0.7688397	0.7278211	0.10845097	0.9022438	0.14035384	0.7780408	0.113936044	0.79523724	0.072157346	0.86817336	0.90173167	0.8965734	0.8468626	0.16253892	0.063246496	0.8325453	0.8485063	0.17701188	0.108144335	0.0510811	0.11068972	0.77522326	0.8431652	0.8343654	0.86553216	0.2559678	0.8377349	0.10461571	0.16365811	0.11098456	0.7992713	0.87695706	0.7683517	0.8005911	0.86043334	0.102179445	0.8159185	0.75844187	0.78207815	0.84196496	0.86689925	0.853533	0.12780972	0.17772399	0.8208176	0.847866	0.11437816	0.087432645	0.84518874	0.098358154	0.7276432	0.16473119	0.08852782	0.7363133	0.10211804	0.8492755	0.07064104	0.83746076	0.87061226	0.91518795	0.8827171	0.6561746	0.09189791	0.14418736	0.7930942	0.1013926	0.83571726	0.07029634	0.8783529	0.85086375	0.07158182	0.87454414	0.77074945	0.68677604	0.799031	0.06429529	0.7037409	0.1070899	0.8698566	0.10513326	0.79333234	0.8228863	0.8688081	0.7539126
X769P_KIDNEY..ACH.000411.	0.81431246	0.79356384	0.7674398	0.32681295	0.41628122	0.09136441	0.7850521	0.44322258	0.82892495	0.8434105	0.29192072	0.6506771	0.19305079	0.13343407	0.7646854	0.7537435	0.5941826	0.75829184	0.8264794	0.7804152	0.8142245	0.19896598	0.7804501	0.585632	0.8006835	0.20904002	0.3487566	0.35739675	0.29221538	0.79831135	0.83002204	0.16145906	0.6699677	0.8673861	0.78911114	0.73916626	0.81936604	0.18629836	0.19550163	0.2767404	0.494942	0.8871496	0.30826184	0.8100615	0.8356997	0.82639563	0.15587205	0.57696676	0.26043367	0.32887527	0.1750589	0.84084064	0.5605123	0.84865344	0.575638	0.7526477	0.3987802	0.24729027	0.7346438	0.837925	0.34675246	0.30538696	0.8679066	0.823568	0.2839086	0.7058157	0.38240904	0.83110946	0.81775486	0.5815131	0.73147196	0.4056216	0.76504153	0.30866688	0.4673933	0.50860304	0.20501429	0.3254659	0.89094347	0.795045	0.2132391	0.7045361	0.18080789	0.6481003	0.31184232	0.3304019	0.76114094	0.17627254	0.25043747	0.6862077	0.55294514	0.7873834	0.9165026	0.848358	0.41306964	0.8079452	0.42096448	0.34635714	0.26301515	0.26415256
